facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_constructed,farmer_beneficiaries,banner_program,remarks
ABEMIS0001,Poultry House,ABEMIS_LIVESTOCK,Cagayan,2nd District,Piat,Baung,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Livestock Facilities | Project Type: Chicken Housing | Beneficiary: Cagayan State University - Piat
ABEMIS0002,Construction of San Mariano Agrarian Reform Cooperative Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,1st District,Lal-lo,San Mariano,,,National Organic Agriculture Program,1.00,,1618148.95,2024,,National Organic Agriculture Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Irrigation System | Beneficiary: San Mariano Agrarian Reform Cooperative
ABEMIS0003,Installation of Aurora Vegetable Growers Association's Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Isabela,5th District,Aurora,Bannagao,,,High Value Crop Development Program,2.00,,233502.88,2023,,High Value Crop Development Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Aurora Vegetable Growers Association
ABEMIS0004,Construction of Pagsanggiran Ti Mannalon MPC's RPC 3,ABEMIS_POSTHARVEST,Cagayan,2nd District,Abulug,Alinunu,,,Rice Program,1.00,,41580135.92,2023,,Rice Program,Project Group: Postharvest and Processing | Project Type: Rice Processing Center | Beneficiary: Pagsanggiran Ti Mannalon MPC
ABEMIS0005,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper East,,,National Organic Agriculture Program,2.00,,215122.92,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0006,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper West,,,National Organic Agriculture Program,2.00,,215122.92,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0007,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Alang Salacsac,,,National Organic Agriculture Program,2.00,,215122.92,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0008,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Tubongan,,,National Organic Agriculture Program,1.00,,107561.46,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0009,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pangawan,,,National Organic Agriculture Program,5.00,,537807.30,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0010,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pingkian,,,National Organic Agriculture Program,1.00,,107561.46,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0011,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Besong,,,National Organic Agriculture Program,5.00,,537807.30,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0012,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Balangabang,,,National Organic Agriculture Program,11.00,,1183176.06,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0013,Installation of Rainshelter,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Cabalatan Alang,,,National Organic Agriculture Program,4.00,,430245.84,2024,,National Organic Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Rainshelter | Beneficiary: Kayapa-Participatory Guarantee System-Organic Certifying Body
ABEMIS0014,Construction of Masisit-Dacal Livelihood Cooperative Warehouse,ABEMIS_POSTHARVEST,Cagayan,2nd District,Sanchez Mira,Masisit,,,Rice Program,1.00,,7434803.37,2021,,Rice Program,Project Group: Postharvest and Processing | Project Type: Warehouse | Beneficiary: Masisit Dacal Multi-Purpose Cooperative
ABEMIS0015,Construction of Nagtalbangan SWIP,ABEMIS_IRRIGATION,Cagayan,2nd District,Allacapan,Capalutan,,,Rice Program,1.00,,19539972.59,2023,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Small Water Impounding Project | Beneficiary: NATALGED FARMERS ASSOCIATION
ABEMIS0016,Installation of Sitio Ganipa-Giayan Spring Development,ABEMIS_IRRIGATION,Quirino,Quirino,Nagtipunan,Guino (Giayan),,,High Value Crop Development Program,1.00,,1080680.38,2023,,High Value Crop Development Program,Project Group: Irrigation and Water Systems | Project Type: Spring Development | Beneficiary: Giayan Multi-Purpose Cooperative
ABEMIS0017,Construction of Ubbog SWIP,ABEMIS_IRRIGATION,Cagayan,3rd District,Amulung,Nagsabaran,,,Rice Program,1.00,,14462526.26,2023,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Small Water Impounding Project | Beneficiary: Nagsabaran Small Water Irrigation System Association Inc.
ABEMIS0018,Greenhouse with Hydroponics,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Bambang,Barat,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Greenhouse | Beneficiary: La Montagne Integrated Farm - Cagayan Valley (Region II)
ABEMIS0019,Mushroom House,ABEMIS_PROTECTED_CULTIVATION,Cagayan,1st District,Lal-lo,Santa Maria,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Mushroom Fruiting House | Beneficiary: Cagayan State University-Lallo Campus - Cagayan Valley (Region II)
ABEMIS0020,Mushroom House,ABEMIS_PROTECTED_CULTIVATION,Cagayan,2nd District,Piat,Baung,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Protected Cultivation and Nurseries | Project Type: Mushroom Fruiting House | Beneficiary: Cagayan State University - Piat
ABEMIS0021,Construction of Nursery,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,Project Group: Protected Cultivation and Nurseries | Project Type: Nursery Establishment | Beneficiary: Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA)
ABEMIS0022,Construction of Nursery,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,Project Group: Protected Cultivation and Nurseries | Project Type: Nursery Establishment | Beneficiary: Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA)
ABEMIS0023,School Garden Program,ABEMIS_FOOD_GARDEN,Cagayan,2nd District,Allacapan,Bulo,,,High Value Crop Development Program,1.00,,10000.00,2022,,High Value Crop Development Program,Project Group: Food Gardens | Project Type: School Garden | Beneficiary: Bulo Elementary School
ABEMIS0024,Installation of Carilucud-1 SPFS-8,ABEMIS_IRRIGATION,Cagayan,3rd District,Solana,Carilucud,,,Rice Program,1.00,,1721766.77,2022,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Fertigation System (8) | Beneficiary: Carilucud Farmers Water Pump Association
ABEMIS0025,Installation of Carilucud-2 SPFS-8,ABEMIS_IRRIGATION,Cagayan,3rd District,Solana,Carilucud,,,Rice Program,1.00,,1721765.55,2022,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Fertigation System (8) | Beneficiary: Carilucud Farmers Water Pump Association
ABEMIS0026,Construction of AMA-SILA's Corn Complex Phase I,ABEMIS_POSTHARVEST,Isabela,1st District,Ilagan City (Capital),San Vicente (Pob.),,,Corn Program,1.00,,66925871.76,2023,,Corn Program,Project Group: Postharvest and Processing | Project Type: Village Type Corn Postharvest Processing Center (VTCPPC) | Beneficiary: Asosasyon ng mga Ama-Syudad ng Ilagan
ABEMIS0027,Construction of Packaging House,ABEMIS_POSTHARVEST,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,Project Group: Postharvest and Processing | Project Type: Packinghouse | Beneficiary: Alfonso Castañeda Vegetable Growers Assocation (ALCAVEGA)
ABEMIS0028,Construction of Solar Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,5th District,Quezon,Samonte (Pob.),,,National Organic Agriculture Program,1.00,,1674610.93,2025,,National Organic Agriculture Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Irrigation System | Beneficiary: LGU QUEZON ISABELA
ABEMIS0029,Construction of Screenhouse/Nethouse,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,"Project Group: Protected Cultivation and Nurseries | Project Type: Greenhouse | Beneficiary: Alfonso Castañeda Vegetable Growers Association, Inc."
ABEMIS0030,Construction of Screenhouse/Nethouse,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Galintuja,,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,Project Group: Protected Cultivation and Nurseries | Project Type: Greenhouse | Beneficiary: Alfonso Castañeda Vegetable Growers and Workers Association
ABEMIS0031,Construction of Screenhouse/Nethouse,ABEMIS_PROTECTED_CULTIVATION,Nueva Vizcaya,Nueva Vizcaya,Alfonso Castaneda,Lublub (Pob.),,,High Value Crop Development Program,1.00,,0.00,2025,,High Value Crop Development Program,Project Group: Protected Cultivation and Nurseries | Project Type: Greenhouse | Beneficiary: Alfonso Castañeda Vegetable Growers and Workers Association
ABEMIS0032,Construction of Multi-Crop Drying Pavement with Shed,ABEMIS_POSTHARVEST,Isabela,6th District,City of Cauayan,Villa Luna,,,Corn Program,1.00,,864840.60,2025,,Corn Program,Project Group: Postharvest and Processing | Project Type: Multi Crop Drying Pavement (MCDP) | Beneficiary: Villa Luna Multi-Purpose Cooperative
ABEMIS0033,Multi-Commodity Solar Drying Facility,ABEMIS_POSTHARVEST,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Poblacion (Alloy),,,High Value Crop Development Program,1.00,,0.00,2024,,High Value Crop Development Program,Project Group: Postharvest and Processing | Project Type: Multi-Commodity Drying Shed | Beneficiary: Kasibu Coffee Growers Association
ABEMIS0034,Construction of Palay Shed,ABEMIS_POSTHARVEST,Cagayan,2nd District,Piat,Warat,,,Rice Program,1.00,,420559.60,2024,,Rice Program,Project Group: Postharvest and Processing | Project Type: Palay Shed | Beneficiary: Mabuhay Agri-Crop Multi-Purpose Cooperative
ABEMIS0035,Construction of Palay Shed,ABEMIS_POSTHARVEST,Cagayan,2nd District,Lasam,Minanga Norte,,,Rice Program,1.00,,455820.00,2024,,Rice Program,Project Group: Postharvest and Processing | Project Type: Palay Shed | Beneficiary: ZRIS Farmers Irrigators Agriculture Cooperative ( ZRIS FIACO)
ABEMIS0036,Masaya Sur Solar Powered Irrigation System,ABEMIS_IRRIGATION,Isabela,4th District,San Agustin,Masaya Sur,,,Rice Program,1.00,,4656866.02,2024,,Rice Program,Project Group: Irrigation and Water Systems | Project Type: Solar-Powered Irrigation System | Beneficiary: Masaya Sur Small Water Irrigation System Association
ABEMIS0037,Construction of Multi-Crop Drying Pavement,ABEMIS_POSTHARVEST,Cagayan,3rd District,Tuao,Malumin,,,Corn Program,1.00,,666351.41,2024,,Corn Program,Project Group: Postharvest and Processing | Project Type: Multi Crop Drying Pavement (MCDP) | Beneficiary: Salamin Multi-Purpose Cooperative
ABEMIS0038,Construction of Multi-Crop Drying Pavement,ABEMIS_POSTHARVEST,Quirino,Quirino,Diffun,Cajel,,,Corn Program,1.00,,761829.04,2024,,Corn Program,Project Group: Postharvest and Processing | Project Type: Multi Crop Drying Pavement (MCDP) | Beneficiary: Cajel Farmers Association
ABEMIS0039,Construction of Multi-Crop Drying Pavement,ABEMIS_POSTHARVEST,Quirino,Quirino,Diffun,Dumanisi,,,Corn Program,1.00,,761829.04,2024,,Corn Program,Project Group: Postharvest and Processing | Project Type: Multi Crop Drying Pavement (MCDP) | Beneficiary: Dumanisi ARB Multi-Purpose Cooperative
ABEMIS0040,Poultry House,ABEMIS_LIVESTOCK,Cagayan,2nd District,Pamplona,Abanqueruan,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Livestock Facilities | Project Type: Chicken Housing | Beneficiary: Municipal Local Government Unit of Pamplona - Cagayan Valley (Region II)
ABEMIS0041,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,3rd District,Enrile,Divisoria,,,Corn Program,1.00,,1198447.80,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: San Isidro Labrador Agriculture Cooperative
ABEMIS0042,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,2nd District,Rizal,Mauanan,,,Corn Program,1.00,,1198447.80,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Mauanan-Baluncanag Gaddangao Credit Cooperative
ABEMIS0043,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Nangalisan,,,Corn Program,1.00,,1198447.80,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Paniki Nangalisan Bakir Corn Cluster Farmers Association Inc.
ABEMIS0044,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,1st District,Gattaran,Capissayan Sur,,,Corn Program,1.00,,1198447.80,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Sunrise Multi-Purpose Cooperative
ABEMIS0045,Construction of Mobile Solar-Powered Irrigation System,ABEMIS_IRRIGATION,Cagayan,3rd District,Amulung,Masical,,,Corn Program,1.00,,1198447.80,2024,,Corn Program,Project Group: Irrigation and Water Systems | Project Type: Mobile Solar Power Irrigation Unit | Beneficiary: Masical Farmers Association
