province,district,municipality,abemis_total_projects,abemis_total_cost,abemis_total_quantity,abemis_avg_cost_per_project,abemis_latest_year,abemis_dominant_project_type,abemis_dominant_project_group,abemis_banner_programs,abemis_project_types,abemis_fmr_projects,abemis_fmr_cost,abemis_irrigation_projects,abemis_irrigation_cost,abemis_postharvest_projects,abemis_postharvest_cost,abemis_protected_cultivation_projects,abemis_protected_cultivation_cost,abemis_food_garden_projects,abemis_food_garden_cost,abemis_livestock_projects,abemis_livestock_cost,abemis_other_projects,abemis_other_cost,abemis_check_dam_count,abemis_chicken_housing_count,abemis_coffee_processing_center_count,abemis_cold_storage_count,abemis_diversion_dam_count,abemis_farm_to_market_road_count,abemis_fertilizer_processing_center_count,abemis_grain_silo_count,abemis_greenhouse_count,abemis_gulayan_sa_barangay_count,abemis_mobile_solar_power_irrigation_unit_count,abemis_multi_commodity_drying_shed_count,abemis_multi_crop_drying_pavement_mcdp_count,abemis_multi_purpose_drying_pavement_count,abemis_mushroom_fruiting_house_count,abemis_nursery_establishment_count,abemis_packinghouse_count,abemis_palay_shed_count,abemis_rabbit_housing_count,abemis_rainshelter_count,abemis_rice_processing_center_count,abemis_school_garden_count,abemis_small_water_impounding_project_count,abemis_solar_powered_fertigation_system_8_count,abemis_solar_powered_irrigation_system_count,abemis_spring_development_count,abemis_swine_housing_count,abemis_vermi_composting_facilities_count,abemis_village_type_corn_postharvest_processing_center_vtcppc_count,abemis_warehouse_count
Batanes,Batanes,Basco (Capital),22,4538683054.86,2127.82,206303775.22,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | National Organic Agriculture Program,Farm-to-Market Road | Greenhouse | Mushroom Fruiting House,20,4537329486.69,0,0.00,0,0.00,2,1353568.17,0,0.00,0,0.00,0,0.00,0,0,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Batanes,Itbayat,26,203844889.63,17.70,7840188.06,2020,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program,Farm-to-Market Road,26,203844889.63,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Batanes,Ivana,9,19485388.03,853.17,2165043.11,2022,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | National Organic Agriculture Program,Farm-to-Market Road | Greenhouse,8,18766890.63,0,0.00,0,0.00,1,718497.40,0,0.00,0,0.00,0,0.00,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Batanes,Mahatao,11,44125122.05,1399.00,4011374.73,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program,Farm-to-Market Road,11,44125122.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Batanes,Sabtang,15,100721062.63,5.62,6714737.51,2020,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | National Organic Agriculture Program,Farm-to-Market Road | Solar-Powered Irrigation System,14,100171075.13,1,549987.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Batanes,Batanes,Uyugan,12,47940596.79,3.72,3995049.73,2023,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program,Farm-to-Market Road,12,47940596.79,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,2nd District,Abulug,61,531858898.25,61.76,8718998.33,2024,Farm-to-Market Road,Farm-to-Market Roads,Farm to Market Road Development Program | High Value Crop Development Program | National Organic Agriculture Program | National Urban and Peri-Urban Agriculture Program | Rice Program,Diversion Dam | Farm-to-Market Road | Greenhouse | Gulayan sa Barangay | Multi-Purpose Drying Pavement | Mushroom Fruiting House | Rabbit Housing | Rice Processing Center | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System | Vermi-Composting Facilities,41,474273151.36,4,13703104.20,2,41997826.56,3,1499132.13,10,280000.00,1,105684.00,0,0.00,0,0,0,0,1,41,0,0,1,2,0,0,0,1,1,0,0,0,1,0,1,8,1,0,2,0,0,1,0,0
Cagayan,1st District,Alcala,23,73353811.54,21.16,3189296.15,2024,School Garden,Food Gardens,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | Multi-Purpose Drying Pavement | School Garden | Small Water Impounding Project | Solar-Powered Irrigation System,7,56540875.92,6,15874863.12,1,758072.50,0,0.00,9,180000.00,0,0.00,0,0.00,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,5,0,1,0,0,0,0,0
Cagayan,2nd District,Allacapan,17,172084392.43,14.75,10122611.32,2024,Small Water Impounding Project,Irrigation and Water Systems,Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | School Garden | Small Water Impounding Project,4,71860181.80,7,100164210.63,0,0.00,0,0.00,6,60000.00,0,0.00,0,0.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0
Cagayan,3rd District,Amulung,31,185836639.72,32.18,5994730.31,2024,Farm-to-Market Road,Farm-to-Market Roads,Corn Program | Farm to Market Road Development Program | High Value Crop Development Program | Rice Program,Farm-to-Market Road | Gulayan sa Barangay | Mobile Solar Power Irrigation Unit | School Garden | Small Water Impounding Project,18,143250119.57,4,42406520.15,0,0.00,0,0.00,9,180000.00,0,0.00,0,0.00,0,0,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0
