project_id,project_type,project_type_key,project_group,project_group_key,project_title,fund_source,source_agency,banner_program,year_funded,operating_unit,project_cost,beneficiary,quantity,province,district,municipality,barangay,ADM4_PCODE,ADM3_PCODE,ADM2_PCODE,match_status
ABEMIS0001,Chicken Housing,abemis_chicken_housing_count,Livestock Facilities,abemis_livestock,Poultry House,National Urban and Peri-Urban Agriculture Program,Cagayan Valley (Region II),National Urban and Peri-Urban Agriculture Program,2025,Cagayan Valley (Region II),0.00,Cagayan State University - Piat,1.00,Cagayan,2nd District,Piat,Baung,PH0201520016,PH0201520,PH02015,barangay_matched
ABEMIS0002,Solar-Powered Irrigation System,abemis_solar_powered_irrigation_system_count,Irrigation and Water Systems,abemis_irrigation,Construction of San Mariano Agrarian Reform Cooperative Solar-Powered Irrigation System,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),1618148.95,San Mariano Agrarian Reform Cooperative,1.00,Cagayan,1st District,Lal-lo,San Mariano,PH0201516033,PH0201516,PH02015,barangay_matched
ABEMIS0003,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Aurora Vegetable Growers Association's Rainshelter,High Value Crop Development Program,DA - OSEC,High Value Crop Development Program,2023,Cagayan Valley (Region II),233502.88,Aurora Vegetable Growers Association,2.00,Isabela,5th District,Aurora,Bannagao,PH0203103005,PH0203103,PH02031,barangay_matched
ABEMIS0004,Rice Processing Center,abemis_rice_processing_center_count,Postharvest and Processing,abemis_postharvest,Construction of Pagsanggiran Ti Mannalon MPC's RPC 3,Rice Program,DA - OSEC,Rice Program,2023,Cagayan Valley (Region II),41580135.92,Pagsanggiran Ti Mannalon MPC,1.00,Cagayan,2nd District,Abulug,Alinunu,PH0201501001,PH0201501,PH02015,barangay_matched
ABEMIS0005,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),215122.92,Kayapa-Participatory Guarantee System-Organic Certifying Body,2.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper East,PH0205010012,PH0205010,PH02050,barangay_matched
ABEMIS0006,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),215122.92,Kayapa-Participatory Guarantee System-Organic Certifying Body,2.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper West,PH0205010013,PH0205010,PH02050,barangay_matched
ABEMIS0007,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),215122.92,Kayapa-Participatory Guarantee System-Organic Certifying Body,2.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Alang Salacsac,PH0205010023,PH0205010,PH02050,barangay_matched
ABEMIS0008,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),107561.46,Kayapa-Participatory Guarantee System-Organic Certifying Body,1.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Tubongan,,PH0205010,PH02050,barangay_unmatched
ABEMIS0009,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),537807.30,Kayapa-Participatory Guarantee System-Organic Certifying Body,5.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pangawan,PH0205010017,PH0205010,PH02050,barangay_matched
ABEMIS0010,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),107561.46,Kayapa-Participatory Guarantee System-Organic Certifying Body,1.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pingkian,PH0205010019,PH0205010,PH02050,barangay_matched
ABEMIS0011,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),537807.30,Kayapa-Participatory Guarantee System-Organic Certifying Body,5.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Besong,PH0205010009,PH0205010,PH02050,barangay_matched
ABEMIS0012,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),1183176.06,Kayapa-Participatory Guarantee System-Organic Certifying Body,11.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Balangabang,PH0205010006,PH0205010,PH02050,barangay_matched
ABEMIS0013,Rainshelter,abemis_rainshelter_count,Protected Cultivation and Nurseries,abemis_protected_cultivation,Installation of Rainshelter,National Organic Agriculture Program,DA - OSEC,National Organic Agriculture Program,2024,Cagayan Valley (Region II),430245.84,Kayapa-Participatory Guarantee System-Organic Certifying Body,4.00,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Cabalatan Alang,PH0205010010,PH0205010,PH02050,barangay_matched
ABEMIS0014,Warehouse,abemis_warehouse_count,Postharvest and Processing,abemis_postharvest,Construction of Masisit-Dacal Livelihood Cooperative Warehouse,Rice Program,DA - OSEC,Rice Program,2021,Cagayan Valley (Region II),7434803.37,Masisit Dacal Multi-Purpose Cooperative,1.00,Cagayan,2nd District,Sanchez Mira,Masisit,PH0201522013,PH0201522,PH02015,barangay_matched
ABEMIS0015,Small Water Impounding Project,abemis_small_water_impounding_project_count,Irrigation and Water Systems,abemis_irrigation,Construction of Nagtalbangan SWIP,Rice Program,DA - OSEC,Rice Program,2023,Cagayan Valley (Region II),19539972.59,NATALGED FARMERS ASSOCIATION,1.00,Cagayan,2nd District,Allacapan,Capalutan,PH0201503006,PH0201503,PH02015,barangay_matched
