province,municipality,barangay,asf_lab_records,asf_sample_total,asf_positive_total,asf_negative_total,asf_positive_rate_pct,asf_tested_barangays,asf_affected_barangays,asf_first_report_date,asf_latest_report_date,asf_status,asf_risk_score,asf_source_note,asf_whole_blood_samples,asf_whole_blood_positive,asf_whole_blood_negative,asf_organ_samples,asf_organ_positive,asf_organ_negative,asf_environmental_swab_samples,asf_environmental_swab_positive,asf_environmental_swab_negative,asf_fecal_swab_samples,asf_fecal_swab_positive,asf_fecal_swab_negative,asf_meat_products_samples,asf_meat_products_positive,asf_meat_products_negative
Batanes,Basco,Kayvulaganan,2,12,0,12,0.00,1,0,2023-10-10,2023-10-23,At-risk,6.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,10,0,10,2,0,2,0,0,0,0,0,0,0,0,0
Batanes,Basco,N/A,3,31,0,31,0.00,1,0,2025-06-09,2025-06-09,At-risk,8.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Ivana,N/A,3,10,0,10,0.00,1,0,2024-05-21,2024-05-21,At-risk,6.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Mahatao,N/A,2,10,0,10,0.00,1,0,2024-05-21,2024-05-21,At-risk,6.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Bulacan,N/A,N/A,1,6,0,6,0.00,1,0,2025-08-12,2025-08-12,At-risk,5.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ABULUG,CALOG SUR,2,3,0,3,0.00,1,0,2021-02-24,2021-02-24,At-risk,5.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ABULUG,CENTRO,1,2,2,0,100.00,1,1,2021-09-09,2021-09-09,Affected,40.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ABULUG,DANA ILI,1,2,2,0,100.00,1,1,2021-12-16,2021-12-16,Affected,40.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ABULUG,LIBERTAD,2,32,0,32,0.00,1,0,2021-05-06,2021-05-06,At-risk,8.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,2,0,2,0,0,0,30,0,30,0,0,0,0,0,0
Cagayan,ABULUG,N/A,1,6,0,6,0.00,1,0,2021-10-26,2021-10-26,At-risk,5.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ABULUG,SAN AGUSTIN,1,1,1,0,100.00,1,1,2021-11-02,2021-11-02,Affected,38.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,ALCALA,CALANTAC,11,19,8,11,42.11,2,1,2020-10-12,2021-09-06,Affected,29.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,8,8,0,0,0,0,5,0,5,6,0,6,0,0,0
Cagayan,ALCALA,CARALLANGAN,9,13,7,6,53.85,2,1,2021-01-06,2021-09-06,Affected,31.9,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,7,7,0,0,0,0,0,0,0,6,0,6,0,0,0
Cagayan,ALCALA,DALADIG,1,5,0,5,0.00,1,0,2021-06-09,2021-06-09,At-risk,5.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
Cagayan,ALCALA,JURISDICCION,2,2,0,2,0.00,1,0,2021-09-06,2021-09-06,At-risk,5.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Cagayan,ALCALA,LARALLANGAN,2,2,0,2,0.00,1,0,2021-08-20,2021-08-20,At-risk,5.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
