province,municipality,asf_lab_records,asf_sample_total,asf_positive_total,asf_negative_total,asf_positive_rate_pct,asf_tested_barangays,asf_affected_barangays,asf_first_report_date,asf_latest_report_date,asf_status,asf_risk_score,asf_source_note,asf_whole_blood_samples,asf_whole_blood_positive,asf_whole_blood_negative,asf_organ_samples,asf_organ_positive,asf_organ_negative,asf_environmental_swab_samples,asf_environmental_swab_positive,asf_environmental_swab_negative,asf_fecal_swab_samples,asf_fecal_swab_positive,asf_fecal_swab_negative,asf_meat_products_samples,asf_meat_products_positive,asf_meat_products_negative
Batanes,Basco,5,43,0,43,0.00,2,0,2023-10-10,2025-06-09,At-risk,9.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,41,0,41,2,0,2,0,0,0,0,0,0,0,0,0
Batanes,Ivana,3,10,0,10,0.00,1,0,2024-05-21,2024-05-21,At-risk,6.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,Mahatao,2,10,0,10,0.00,1,0,2024-05-21,2024-05-21,At-risk,6.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Bulacan,N/A,1,6,0,6,0.00,1,0,2025-08-12,2025-08-12,At-risk,5.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Abulug,72,185,30,155,16.22,16,10,2021-02-24,2024-10-09,Affected,70.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,87,27,60,0,0,0,98,3,95,0,0,0,0,0,0
Cagayan,Alcala,239,444,79,365,17.79,39,19,2020-10-02,2024-11-28,Affected,71.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,261,64,197,18,15,3,105,0,105,60,0,60,0,0,0
Cagayan,Allacapan,113,355,124,231,34.93,27,22,2020-04-30,2024-12-12,Affected,77.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,334,123,211,1,1,0,20,0,20,0,0,0,0,0,0
Cagayan,Amulung,172,398,43,355,10.80,45,10,2020-09-10,2024-09-16,Affected,68.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,104,43,61,0,0,0,244,0,244,50,0,50,0,0,0
Cagayan,Aparri,119,260,85,174,32.69,36,23,2021-01-06,2024-12-17,Affected,76.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,152,85,66,0,0,0,108,0,108,0,0,0,0,0,0
Cagayan,Baggao,344,549,55,494,10.02,53,25,2020-11-25,2025-03-28,Affected,68.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,350,55,295,0,0,0,170,0,170,29,0,29,0,0,0
Cagayan,Ballesteros,132,240,75,165,31.25,32,17,2021-07-26,2024-11-22,Affected,75.9,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,113,69,44,6,6,0,121,0,121,0,0,0,0,0,0
Cagayan,Buguey,58,175,44,131,25.14,18,9,2021-02-09,2025-04-04,Affected,71.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,85,44,41,0,0,0,90,0,90,0,0,0,0,0,0
Cagayan,Camalaniugan,46,125,11,114,8.80,17,4,2021-02-09,2024-10-17,Affected,36.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,109,11,98,0,0,0,16,0,16,0,0,0,0,0,0
Cagayan,Claveria,137,365,51,314,13.97,38,13,2021-07-26,2024-03-15,Affected,69.9,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,239,51,188,0,0,0,126,0,126,0,0,0,0,0,0
Cagayan,Enrile,218,704,170,535,24.15,34,22,2020-08-26,2024-12-20,Affected,73.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,471,170,302,0,0,0,218,0,218,15,0,15,0,0,0
Cagayan,Gattaran,224,528,99,429,18.75,54,23,2021-05-11,2025-09-23,Affected,71.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,405,28,377,20,5,15,103,66,37,0,0,0,0,0,0
Cagayan,Gonzaga,178,391,42,349,10.74,31,11,2020-10-16,2025-03-26,Affected,68.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,280,36,244,4,4,0,87,2,85,20,0,20,0,0,0
Cagayan,Iguig,188,307,31,276,10.10,27,10,2020-09-14,2025-06-18,Affected,68.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,196,29,167,2,2,0,109,0,109,0,0,0,0,0,0
Cagayan,Lal-lo,127,293,18,275,6.14,40,9,2020-04-30,2024-11-19,Affected,55.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,106,13,93,2,0,2,185,5,180,0,0,0,0,0,0
Cagayan,Lallo,64,116,50,66,43.10,20,12,2021-01-14,2025-03-07,Affected,80.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,116,50,66,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Lasam,78,295,62,233,21.02,30,16,2022-01-21,2025-01-09,Affected,72.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,168,47,121,2,1,1,125,14,111,0,0,0,0,0,0
Cagayan,PAMPLOMA,2,7,0,7,0.00,1,0,2021-06-17,2021-06-17,At-risk,5.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0
Cagayan,Pamplona,85,240,19,221,7.92,13,5,2021-04-07,2024-10-17,Affected,49.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,156,15,141,0,0,0,80,0,80,4,4,0,0,0,0
Cagayan,Penablanca,112,201,59,146,29.35,15,10,2021-11-16,2025-03-13,Affected,75.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,193,57,140,0,0,0,8,2,6,0,0,0,0,0,0
Cagayan,Peñablanca,91,209,9,200,4.31,11,1,2020-10-06,2023-10-06,Affected,26.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,208,8,200,1,1,0,0,0,0,0,0,0,0,0,0
Cagayan,Piat,130,288,26,262,9.03,23,11,2020-09-11,2025-02-26,Affected,68.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,143,26,117,0,0,0,125,0,125,20,0,20,0,0,0
Cagayan,Rizal,6,14,0,14,0.00,2,0,2023-01-06,2023-11-20,At-risk,6.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,STA ANA,2,3,0,3,0.00,2,0,2021-11-10,2021-11-10,At-risk,5.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Sanchez Mira,201,1810,94,1716,5.19,32,14,2021-05-12,2025-09-26,Affected,66.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,1782,91,1691,3,3,0,25,0,25,0,0,0,0,0,0
Cagayan,Santa Praxedes,8,21,1,20,4.76,3,1,2025-01-27,2025-01-27,Affected,7.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Solana,248,1107,86,1021,7.77,50,17,2020-09-09,2025-11-04,Affected,67.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,795,84,711,2,2,0,270,0,270,40,0,40,0,0,0
Cagayan,Sta. Ana,90,184,36,148,19.57,20,4,2021-02-15,2023-03-20,Affected,59.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,99,36,63,0,0,0,85,0,85,0,0,0,0,0,0
Cagayan,Sta. Praxedes,45,75,0,75,0.00,10,0,2023-03-06,2023-06-17,At-risk,12.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,45,0,45,0,0,0,30,0,30,0,0,0,0,0,0
Cagayan,Sta. Teresita,81,114,22,92,19.30,14,7,2022-01-06,2024-10-17,Affected,61.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,34,22,12,0,0,0,80,0,80,0,0,0,0,0,0
Cagayan,Sto. Nino,16,18,0,18,0.00,4,0,2021-04-13,2022-11-11,At-risk,6.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Sto. Niño,223,406,121,285,29.80,38,32,2021-01-12,2024-11-06,Affected,75.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,362,121,241,0,0,0,44,0,44,0,0,0,0,0,0
Cagayan,Tuao,293,628,98,530,15.61,28,16,2020-09-04,2025-10-24,Affected,70.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,354,87,267,7,6,1,237,5,232,30,0,30,0,0,0
Cagayan,Tug. City,36,56,5,51,8.93,12,3,2023-01-06,2023-02-10,Affected,21.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,56,5,51,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan,Tuguegarao City,60,235,15,217,6.38,8,3,2020-12-11,2025-10-03,Affected,39.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,224,11,210,4,4,0,5,0,5,0,0,0,2,0,2
ISABELA,Ilagan,22,22,0,22,0.00,4,0,2022-11-28,2023-01-16,At-risk,7.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0
ISABELA,Ilagan City,1,30,0,30,0.00,1,0,,,At-risk,8.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
ISABELA,Naguilian,117,135,25,110,18.52,23,13,2020-09-08,2022-12-05,Affected,71.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,79,25,54,0,0,0,56,0,56,0,0,0,0,0,0
ISABELA,Nagulian,1,30,0,30,0.00,1,0,2021-07-19,2021-07-19,At-risk,8.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0
ISABELA,SANTIAGO,2,2,0,2,0.00,1,0,2021-03-30,2021-03-30,At-risk,5.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
ISABELA,STO TOMAS,1,2,0,2,0.00,1,0,2021-04-26,2021-04-26,At-risk,5.2,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
ISABELA,San Pablo,5,10,2,8,20.00,3,1,2020-09-07,2022-03-18,Affected,12.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,2,2,0,0,0,0,8,0,8,0,0,0,0,0,0
ISABELA,Sta. Maria,48,120,18,102,15.00,20,5,2020-11-18,2023-01-27,Affected,50.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,50,18,32,0,0,0,70,0,70,0,0,0,0,0,0
ISABELA,Sto. Tomas,40,41,2,39,4.88,10,1,2020-09-30,2022-12-09,Affected,10.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,18,2,16,0,0,0,23,0,23,0,0,0,0,0,0
Isabela,Alicia,241,319,69,250,21.63,60,25,2020-08-17,2023-09-26,Affected,72.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,149,69,80,0,0,0,170,0,170,0,0,0,0,0,0
Isabela,Angadanan,222,414,52,362,12.56,42,22,2020-09-01,2024-08-19,Affected,69.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,131,52,79,0,0,0,283,0,283,0,0,0,0,0,0
Isabela,Aurora,402,883,67,816,7.59,74,26,2020-02-11,2023-09-28,Affected,67.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,146,65,81,4,2,2,654,0,654,79,0,79,0,0,0
Isabela,Benito Soliven,118,271,7,264,2.58,10,1,2020-09-25,2025-08-12,Affected,22.7,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,39,7,32,0,0,0,232,0,232,0,0,0,0,0,0
Isabela,Burgos,157,323,73,250,22.60,22,6,2020-08-24,2024-10-30,Affected,64.9,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,118,73,45,0,0,0,205,0,205,0,0,0,0,0,0
Isabela,CPF Gamu,6,11,0,11,0.00,1,0,2025-08-12,2025-08-12,At-risk,6.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,Cabagan,81,178,84,94,47.19,17,9,2020-02-19,2025-04-30,Affected,79.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,136,84,52,0,0,0,42,0,42,0,0,0,0,0,0
Isabela,Cabatuan,107,248,66,182,26.61,30,16,2020-03-10,2023-09-27,Affected,74.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,86,66,20,0,0,0,162,0,162,0,0,0,0,0,0
Isabela,Cauayan City,393,1268,100,1168,7.89,90,44,2020-08-27,2025-08-12,Affected,67.8,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,603,100,503,0,0,0,665,0,665,0,0,0,0,0,0
Isabela,City of Ilagan,91,518,12,506,2.32,24,4,2020-03-13,2025-05-14,Affected,35.6,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,391,10,381,0,0,0,116,0,116,0,0,0,11,2,9
Isabela,Cordon,204,354,31,323,8.76,29,12,2020-02-14,2023-10-17,Affected,68.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,54,31,23,2,0,2,263,0,263,35,0,35,0,0,0
Isabela,DIFFUN,1,1,0,1,0.00,1,0,,,At-risk,5.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,Delfin Albano,247,489,76,413,15.54,43,16,2020-09-07,2024-10-29,Affected,70.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,133,76,57,0,0,0,356,0,356,0,0,0,0,0,0
Isabela,Dinapigue,64,330,8,322,2.42,4,1,2023-03-11,2023-06-13,Affected,24.0,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,330,8,322,0,0,0,0,0,0,0,0,0,0,0,0
Isabela,Echague,219,596,178,418,29.87,61,36,2020-02-21,2025-04-14,Affected,75.5,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,287,109,178,0,0,0,294,69,225,15,0,15,0,0,0
Isabela,Gamu,236,558,52,506,9.32,24,11,2020-02-14,2025-06-18,Affected,68.3,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,198,49,149,5,3,2,355,0,355,0,0,0,0,0,0
Isabela,Jones,190,259,104,155,40.15,37,30,2020-02-11,2023-03-09,Affected,79.1,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,147,104,43,0,0,0,112,0,112,0,0,0,0,0,0
Isabela,Luna,123,389,60,330,15.42,31,20,2020-03-03,2023-09-27,Affected,70.4,Sanitized aggregate from ASF laboratory-results Google Sheet; farmer names and farm identifiers excluded.,295,60,235,2,0,2,92,0,93,0,0,0,0,0,0
