province,municipality,bswm_sample_count,bswm_coordinate_count,bswm_complete_test_result_count,bswm_latest_release_date,bswm_avg_ph,bswm_min_ph,bswm_max_ph,bswm_acidic_sample_count,bswm_acidic_sample_pct,bswm_low_om_count,bswm_low_om_pct,bswm_low_p_count,bswm_low_p_pct,bswm_low_k_count,bswm_low_k_pct,bswm_multiple_low_npk_count,bswm_multiple_low_npk_pct,bswm_fertilizer_constraint_score,bswm_coverage_confidence_score,bswm_has_fertmap_coverage
Cagayan,Abulug,8,1,8,2025-07-08,5.11,5.07,5.14,8,100,0,0,8,100,4,50,4,50,62.5,13,Yes
Cagayan,Alcala,24,1,24,2025-03-20,6.02,5.67,6.74,20,83.33,8,33.33,8,33.33,12,50,8,33.33,49.17,25,Yes
Cagayan,Amulung,10,3,10,2025-10-13,6.19,5.64,6.69,8,80,4,40,0,0,4,40,4,40,42,28.5,Yes
Cagayan,Aparri,34,2,34,2025-09-19,4.64,3.83,7.1,32,94.12,0,0,32,94.12,8,23.53,8,23.53,50.59,39.5,Yes
Cagayan,Baggao,14,2,14,2025-09-23,6.56,5.49,7.74,8,57.14,2,14.29,2,14.29,0,0,0,0,20,24.5,Yes
Cagayan,Ballesteros,4,1,4,2025-09-04,7.27,7.24,7.3,0,0,0,0,0,0,0,0,0,0,0,10,Yes
Cagayan,Camalaniugan,72,1,72,2025-04-21,5.31,4.66,5.65,72,100,0,0,62,86.11,62,86.11,52,72.22,70.28,61,Yes
Cagayan,Claveria,2,1,2,2025-01-21,5.55,4.96,6.15,2,100,0,0,1,50,1,50,1,50,52.5,8.5,Yes
Cagayan,Enrile,24,3,24,2025-04-28,6.84,5.31,7.65,8,33.33,2,8.33,8,33.33,20,83.33,8,33.33,38.33,39,Yes
Cagayan,Gattaran,13,2,13,2025-03-25,5.96,4.2,7.27,10,76.92,2,15.38,7,53.85,4,30.77,3,23.08,42.69,23.75,Yes
Cagayan,Gonzaga,28,7,28,2025-12-12,6.63,4.93,8.13,14,50,12,42.86,13,46.43,4,14.29,10,35.71,38.57,70,Yes
Cagayan,Iguig,3,2,3,2025-04-02,6.47,5.84,7.74,2,66.67,0,0,0,0,0,0,0,0,16.67,16.25,Yes
Cagayan,Lal-Lo,70,5,70,2025-12-10,6.46,4.89,8.19,33,47.14,45,64.29,31,44.29,22,31.43,33,47.14,46.86,87.5,Yes
Cagayan,Lasam,6,1,6,2025-07-30,4.92,4.63,5.16,6,100,0,0,4,66.67,2,33.33,0,0,45,11.5,Yes
Cagayan,Pamplona,10,2,10,2025-10-17,4.75,4.4,4.96,10,100,0,0,10,100,4,40,4,40,59,21.5,Yes
Cagayan,Peñablanca,14,2,14,2025-06-10,5.78,4.97,8.19,12,85.71,2,14.29,8,57.14,6,42.86,6,42.86,50.71,24.5,Yes
Cagayan,Piat,52,7,52,2025-09-19,5.61,4.81,6.99,50,96.15,15,28.85,28,53.85,45,86.54,35,67.31,67.98,88,Yes
Cagayan,Rizal,68,3,68,2025-11-07,6.46,4.77,7.72,34,50,24,35.29,6,8.82,4,5.88,2,2.94,22.94,72,Yes
Cagayan,Sanchez-Mira,13,2,13,2025-06-10,5.22,4.46,5.71,13,100,0,0,11,84.62,5,38.46,5,38.46,55.38,23.75,Yes
Cagayan,Santa Ana,2,1,2,2025-10-14,5.89,5.89,5.89,2,100,0,0,2,100,0,0,0,0,45,8.5,Yes
Cagayan,Santo Niño,25,3,25,2025-09-30,6.46,4.9,7.81,12,48,17,68,9,36,9,36,11,44,46.6,39.75,Yes
Cagayan,Solana,150,10,150,2025-12-09,6.54,4.04,8.15,66,44,22,14.67,11,7.33,15,10,14,9.33,18.8,100,Yes
Cagayan,Tuao,54,5,54,2025-04-04,5.76,4.82,6.91,51,94.44,4,7.41,36,66.67,12,22.22,12,22.22,46.2,75.5,Yes
Cagayan,Tuguegarao City,18,3,18,2025-04-28,6.6,5.08,7.42,3,16.67,5,27.78,2,11.11,2,11.11,2,11.11,15.83,34.5,Yes
Isabela,Aurora,23,2,23,2025-08-04,6.88,5.51,7.6,5,21.74,22,95.65,0,0,14,60.87,14,60.87,45.87,31.25,Yes
Isabela,Cabagan,11,2,11,2025-03-31,5.94,5.39,6.67,10,90.91,7,63.64,11,100,9,81.82,9,81.82,84.09,22.25,Yes
Isabela,Cabatuan,2,1,2,2025-07-07,6.53,6.53,6.53,0,0,0,0,0,0,0,0,0,0,0,8.5,Yes
Isabela,City of Ilagan,14,3,14,2025-09-15,6.54,5.47,7.52,6,42.86,13,92.86,3,21.43,4,28.57,4,28.57,43.57,31.5,Yes
Isabela,City of Santiago,2,1,2,2025-11-20,5.85,5.85,5.85,2,100,0,0,0,0,0,0,0,0,25,8.5,Yes
Isabela,Delfin Albano,12,1,12,2025-11-28,6.56,5.02,8.11,6,50,2,16.67,4,33.33,0,0,0,0,22.5,16,Yes
Isabela,Gamu,3,1,3,2025-02-11,5.72,4.84,6.17,3,100,0,0,3,100,0,0,0,0,45,9.25,Yes
Isabela,Mallig,78,3,78,2025-10-02,7.29,5.81,7.85,10,12.82,28,35.9,18,23.08,16,20.51,16,20.51,22.18,79.5,Yes
Isabela,Quezon,15,3,15,2025-07-23,5.48,4.99,5.99,15,100,2,13.33,9,60,7,46.67,5,33.33,54,32.25,Yes
Isabela,Roxas,4,2,4,2025-09-23,6.86,6.11,7.6,2,50,2,50,0,0,0,0,0,0,22.5,17,Yes
Isabela,San Guillermo,17,1,17,2025-06-17,4.97,4.22,5.75,17,100,6,35.29,7,41.18,3,17.65,5,29.41,48.24,19.75,Yes
Isabela,San Isidro,6,1,6,2025-10-09,6.38,5.23,7,2,33.33,6,100,2,33.33,2,33.33,2,33.33,46.67,11.5,Yes
Isabela,San Manuel,100,1,100,2025-08-11,5.65,4.17,7.99,92,92,32,32,34,34,26,26,22,22,44.7,82,Yes
Isabela,San Mateo,16,3,16,2025-09-23,6.27,5.71,7.13,12,75,0,0,0,0,0,0,0,0,18.75,33,Yes
Isabela,San Pablo,4,2,4,2025-08-26,6.12,5.75,6.49,4,100,4,100,2,50,4,100,4,100,90,17,Yes
Isabela,Santa Maria,4,1,4,2025-06-09,6.88,6.84,6.92,0,0,4,100,0,0,0,0,0,0,20,10,Yes
Isabela,Tumauini,21,2,21,2025-09-30,5.21,4.28,6.58,19,90.48,10,47.62,5,23.81,7,33.33,7,33.33,48.57,29.75,Yes
Nueva Vizcaya,Alfonso Castaneda,72,1,72,2025-02-21,5.81,5.05,6.9,66,91.67,24,33.33,8,11.11,54,75,22,30.56,51.39,61,Yes
Nueva Vizcaya,Ambaguio,14,1,14,2025-06-24,6.54,5.48,7.57,4,28.57,2,14.29,2,14.29,0,0,0,0,12.86,17.5,Yes
