province,municipality,barangay,latitude,longitude,laboratory_code,batch_code,date_received,date_released,soil_ph,soil_ph_class,organic_matter_class,phosphorus_class,potassium_class
Isabela,City of Ilagan,Santa Victoria,17.161553,121.999868,S4311-049-14-01102025-00014,2025_LAB-CAR,01/09/2025,01/09/2025,5.47,Strongly Acidic,High,Low,High
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00179,2025_LAB-CAR,01/20/2025,01/20/2025,5.56,Acidic,High,High,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00182,2025_LAB-CAR,01/20/2025,01/20/2025,5.73,Acidic,High,Medium,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00184,2025_LAB-CAR,01/20/2025,01/20/2025,5.64,Acidic,High,High,Medium
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00181,2025_LAB-CAR,01/20/2025,01/20/2025,5.89,Acidic,High,Medium,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00176,2025_LAB-CAR,01/20/2025,01/20/2025,5.32,Strongly Acidic,High,Low,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00001,2025_LAB-CAR,01/20/2025,01/20/2025,5.38,Strongly Acidic,High,Low,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00180,2025_LAB-CAR,01/20/2025,01/20/2025,5.2,Strongly Acidic,High,Low,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00183,2025_LAB-CAR,01/20/2025,01/20/2025,5.52,Acidic,High,High,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00177,2025_LAB-CAR,01/20/2025,01/20/2025,5.4,Strongly Acidic,High,Low,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00178,2025_LAB-CAR,01/20/2025,01/20/2025,5.75,Acidic,High,Medium,Low
Nueva Vizcaya,Kayapa,Pampang,16.3580559,120.8871609,S4359-011-14-01242025-00175,2025_LAB-CAR,01/20/2025,01/20/2025,5.67,Acidic,High,High,Low
Cagayan,Solana,Iraga,17.7157867,121.6650308,S4540-001-02-02182025-00001,2025_LAB-R2,01/06/2025,01/06/2025,6.43,Acidic,Medium,Medium,Low
Isabela,Tumauini,Maligaya,17.2740459,121.809876,S4542-001-02-02182025-00001,2025_LAB-R2,01/06/2025,01/06/2025,5.43,Strongly Acidic,Medium,Low,Low
Cagayan,Santo Niño,Centro Sur,17.88042,121.56858,S4546-001-02-02182025-00001,2025_LAB-R2,01/08/2025,01/08/2025,7.81,Alkaline,Low,Low,Low
Cagayan,Tuao,Angang,17.6718,121.4999,S4549-001-02-02182025-00001,2025_LAB-R2,01/10/2025,01/10/2025,6.14,Acidic,High,Medium,Medium
Cagayan,Lal-Lo,San Antonio,18.1848,121.6454,S4556-001-02-02182025-00001,2025_LAB-R2,01/13/2025,01/13/2025,5.95,Acidic,Medium,Medium,High
Cagayan,Tuguegarao City,Nambbalan Sur,17.5342,121.8164,S4559-001-02-02182025-00001,2025_LAB-R2,01/20/2025,01/20/2025,5.46,Strongly Acidic,High,High,High
Isabela,San Mateo,Victoria,16.8446,121.6140,S4557-001-02-02182025-00001,2025_LAB-R2,01/20/2025,01/20/2025,5.91,Acidic,High,Medium,Medium
Isabela,Aurora,Bagnos,17.0096,121.6732,S4558-001-02-02182025-00001,2025_LAB-R2,01/20/2025,01/20/2025,5.84,Acidic,Medium,Medium,Medium
Cagayan,Piat,Maguilling,17.7698,121.5256,S4560-001-02-02182025-00001,2025_LAB-R2,01/21/2025,01/21/2025,6.02,Acidic,Medium,Medium,Low
Cagayan,Claveria,Luzon,18.5128,121.1195,S4593-002-02-02182025-00001,2025_LAB-R2,01/21/2025,01/21/2025,4.96,Strongly Acidic,High,Low,Low
Cagayan,Claveria,Luzon,18.5128,121.1195,S4593-002-02-02182025-00002,2025_LAB-R2,01/21/2025,01/21/2025,6.15,Acidic,High,High,High
Cagayan,Piat,Maguilling,17.7698,121.5256,S4565-001-02-02182025-00001,2025_LAB-R2,01/21/2025,01/21/2025,5.61,Acidic,Medium,Low,Low
Cagayan,Sanchez-Mira,Centro II,18.5630,121.2305,S4596-001-02-02182025-00001,2025_LAB-R2,01/22/2025,01/22/2025,4.46,Strongly Acidic,High,Low,Low
Cagayan,Sanchez-Mira,Centro II,18.5630,121.2305,S4595-001-02-02182025-00001,2025_LAB-R2,01/22/2025,01/22/2025,4.52,Strongly Acidic,High,Low,Medium
Cagayan,Sanchez-Mira,Centro II,18.5630,121.2305,S4567-001-02-02182025-00001,2025_LAB-R2,01/22/2025,01/22/2025,5.33,Strongly Acidic,High,Low,Medium
Cagayan,Solana,Gen. Eulogio Balao,17.6612,121.6330,S4568-001-02-02182025-00001,2025_LAB-R2,01/23/2025,01/23/2025,5.71,Acidic,Medium,Low,Medium
Cagayan,Piat,Baung,17.7991,121.5085,S4597-001-02-02182025-00001,2025_LAB-R2,01/24/2025,01/24/2025,5.29,Strongly Acidic,Medium,High,Medium
Isabela,Quezon,Minagbag,17.3859,121.6027,S4571-003-02-02182025-01467,2025_LAB-R2,01/27/2025,01/27/2025,5.39,Strongly Acidic,High,Low,Low
Isabela,Quezon,Minagbag,17.3859,121.6027,S4571-003-02-02182025-01466,2025_LAB-R2,01/27/2025,01/27/2025,5.59,Acidic,High,Low,Medium
Isabela,Quezon,Minagbag,17.3859,121.6027,S4571-003-02-02182025-00001,2025_LAB-R2,01/27/2025,01/27/2025,5.99,Acidic,High,Low,Medium
Cagayan,Gonzaga,Santa Clara,18.2416,122.0497,S4599-001-02-02182025-00001,2025_LAB-R2,01/28/2025,01/28/2025,4.93,Strongly Acidic,High,Low,High
Isabela,San Mateo,Malasin,16.8767,121.5941,S4576-001-02-02182025-00001,2025_LAB-R2,01/30/2025,01/30/2025,5.71,Acidic,Medium,Medium,Medium
Cagayan,Iguig,Salamague,17.7388,121.7352,S4579-001-02-02182025-00001,2025_LAB-R2,01/31/2025,01/31/2025,7.74,Alkaline,High,Medium,Medium
Isabela,Cabagan,Cansan,17.3936,121.8109,S5090-009-02-05212025-01485,2025_LAB-R2,02/03/2025,02/03/2025,5.83,Acidic,Low,Low,Low
