episode,episode_date,year,region,province,calamity,drrmis_total_farmers_affected,drrmis_total_area_affected_ha,drrmis_total_production_loss_mt,drrmis_total_value_loss_php,drrmis_rice_farmers_affected,drrmis_rice_area_affected_ha,drrmis_rice_production_loss_mt,drrmis_rice_value_loss_php,drrmis_corn_farmers_affected,drrmis_corn_area_affected_ha,drrmis_corn_production_loss_mt,drrmis_corn_value_loss_php,drrmis_hvcc_farmers_affected,drrmis_hvcc_area_affected_ha,drrmis_hvcc_production_loss_mt,drrmis_hvcc_value_loss_php,drrmis_fisheries_value_loss_php,drrmis_livestock_value_loss_php,drrmis_infra_equipment_value_loss_php,drrmis_source_url
EP 8,Mar 2023 - Jun 2024,2024,RFO II,Batanes,El Nino,863,11.6,2.39,648469.68,0,0,0,0,0,0,0,0,863,11.6,2.39,648469.68,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 8,Mar 2023 - Jun 2024,2024,RFO II,Cagayan,El Nino,26633,22488.9,35520.6,539188793.9,0,0,0,0,23790,22080.88,33903.42,491843347.15,2662,372.02,1612.51,46773888,567723.75,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 8,Mar 2023 - Jun 2024,2024,RFO II,Isabela,El Nino,28385,30486.59,73432.18,1416438381.32,12001,15003.92,27609.1,635009392.81,9773,14369.11,39453.38,512893862.91,5236,1113.56,5155.56,141001800,125308825.6,2224500,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 8,Mar 2023 - Jun 2024,2024,RFO II,Nueva Vizcaya,El Nino,7873,5630.2,18598.63,371885479.64,3601,2832.69,7011.97,158586980.1,1786,2164.63,8588.13,121592665.54,2474,632.88,2990.33,90859184,846650,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 8,Mar 2023 - Jun 2024,2024,RFO II,Quirino,El Nino,6266,6725.1,25494.83,299606209.5,0,0,0,0,6266,6725.1,25494.83,299606209.5,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 7,Feb 2019 - Aug 2019,2019,RFO II,Batanes,El Nino,1714,1742,4355.28,60973920,1714,1742,4355.28,60973920,0,0,0,0,0,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 7,Feb 2019 - Aug 2019,2019,RFO II,Cagayan,El Nino,62293,69239.46,83061.04,1323779991.63,35908,37627.55,32843.4,626739808.13,26150,31375.82,48998.69,680616994.98,235,236.09,1213.95,16234325,188863.52,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 7,Feb 2019 - Aug 2019,2019,RFO II,Isabela,El Nino,48220,53381.67,105823.42,1579608099.47,14277,16178.24,19154.8,319852061.67,33708,37158.02,86347.92,1255101129.66,235,45.41,320.7,4654908.14,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 7,Feb 2019 - Aug 2019,2019,RFO II,Nueva Vizcaya,El Nino,2875,3649.32,3502.98,55862955.4,1332,2675,927.6,23748110.4,475,704.65,1598.8,18698750.5,1068,269.67,976.58,13416094.5,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
EP 7,Feb 2019 - Aug 2019,2019,RFO II,Quirino,El Nino,10615,11558.53,16912.69,347998350.5,1714,1742,2523.24,35325360,7332,9113.85,11700.99,243500366.5,1569,702.68,2688.46,69172624,0,0,0,https://docs.google.com/spreadsheets/d/1KYuowXvOCPYeNQMTayd88RWJ4HrxsjFT78Kjz0GlYlo/edit?usp=sharing
