province,municipality,plans_projects_2025_count,plans_projects_2025_budget,plans_projects_2026_count,plans_projects_2026_budget,plans_projects_2027_count,plans_projects_2027_budget,plans_projects_total_count,plans_projects_total_budget,plans_projects_2027_physical_target,plans_rice_2027_budget,plans_corn_2027_budget,plans_hvc_2027_budget,plans_fmr_2027_count,plans_fmr_2027_budget,plans_fmr_2027_length_km,plans_irrigation_2027_count,plans_irrigation_2027_budget,plans_2027_programs,plans_source_files
Batanes,Basco (Capital),0,0.00,1,15000.00,17,75382.15,18,90382.15,9565.11,0.00,0.00,1336.67,5,73500.00,2.30,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Itbayat,1,15000.00,1,20000.00,14,85825.42,16,120825.42,9545.76,0.00,0.00,1336.67,4,84100.00,3.50,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Ivana,0,0.00,1,20000.00,13,101345.42,14,121345.42,9545.76,0.00,0.00,1336.67,3,99620.00,2.32,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Mahatao,0,0.00,1,10000.00,6,13836.67,7,23836.67,9541.01,0.00,0.00,1336.67,1,12500.00,0.50,0,0.00,Farm-to-Market Roads | High Value Crops,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Sabtang,0,0.00,0,0.00,8,55836.67,8,55836.67,9541.01,0.00,0.00,1336.67,3,54500.00,2.00,0,0.00,Farm-to-Market Roads | High Value Crops,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Uyugan,1,15000.00,0,0.00,14,134425.42,15,149425.42,9545.76,0.00,0.00,1336.67,4,132700.00,3.10,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Abulug,4,50000.00,12,270000.00,14,19161.48,30,339161.48,687.23,15842.08,0.00,619.40,0,0.00,0.00,0,0.00,Corn Program | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Alcala,1,15000.00,4,75000.00,32,209057.94,37,299057.94,129889.50,0.00,16403.61,504.33,8,189450.00,12.63,1,2000.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Allacapan,1,15000.00,0,0.00,15,68011.48,16,83011.48,690.73,12042.08,1350.00,619.40,3,54000.00,3.60,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Amulung,2,30000.00,3,45000.00,27,89741.77,32,164741.77,692761.10,13060.61,60334.67,1346.49,1,15000.00,1.00,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Aparri,1,15000.00,0,0.00,20,74285.44,21,89285.44,376913.50,0.00,12281.11,504.33,1,61500.00,4.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Baggao,1,15000.00,5,75000.00,24,64975.44,30,154975.44,21803.50,0.00,15271.11,504.33,3,46500.00,3.10,1,1875.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Ballesteros,2,30000.00,0,0.00,11,15361.48,13,45361.48,687.23,12042.08,0.00,619.40,0,0.00,0.00,0,0.00,High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Buguey,0,0.00,2,30000.00,21,30485.44,23,60485.44,376913.50,0.00,14981.11,504.33,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Calayan,0,0.00,0,0.00,21,36086.48,21,36086.48,12699.07,12042.08,2425.00,619.40,1,21000.00,1.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,cagayan_1.xlsx | cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Camalaniugan,1,144260.00,4,189260.00,22,103025.44,27,436545.44,16663.50,0.00,11021.11,504.33,5,90000.00,6.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Claveria,0,0.00,0,0.00,13,59694.81,13,59694.81,688.23,12042.08,0.00,619.40,1,43500.00,2.90,0,0.00,Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Enrile,0,0.00,1,13200.00,25,91271.77,26,104471.77,42960.60,13060.61,25364.67,1346.49,3,50000.00,3.50,2,2250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Gattaran,1,15000.00,13,190000.00,26,264374.47,40,469374.47,21007.42,0.00,262896.11,504.33,0,0.00,0.00,1,1875.00,4Ks | Corn Program | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Gonzaga,0,0.00,2,30000.00,32,73309.47,34,103309.47,345893.42,0.00,25631.11,504.33,2,41000.00,2.70,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Iguig,0,0.00,0,0.00,21,38571.77,21,38571.77,66957.60,13060.61,24164.67,1346.49,0,0.00,0.00,1,1250.00,Corn Program | High Value Crops | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Lal-lo,2,20000.00,1,15000.00,17,14625.44,20,49625.44,16662.50,0.00,14121.11,504.33,0,0.00,0.00,0,0.00,Corn Program | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Lasam,1,10000.00,1,50000.00,23,83421.48,25,143421.48,335839.23,12042.08,25760.00,619.40,3,45000.00,3.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Pamplona,0,0.00,7,130000.00,14,30674.81,21,160674.81,688.23,12042.08,0.00,619.40,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | NUPAP | Rice Program,cagayan_1.xlsx | cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Pe?ablanca,0,0.00,0,0.00,16,1346.49,16,1346.49,4689.29,0.00,0.00,1346.49,0,0.00,0.00,0,0.00,High Value Crops,fy_2027_hvcdp.xlsx
Cagayan,Piat,0,0.00,0,0.00,17,45165.01,17,45165.01,332131.54,13060.61,16485.00,619.40,1,15000.00,1.00,1,1875.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Rizal,3,36000.00,6,81000.00,18,32755.01,27,149755.01,7240.88,13060.61,2075.00,619.40,1,17000.00,1.10,1,1875.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Sanchez Mira,1,10000.00,1,15000.00,19,43067.85,21,68067.85,11270.94,13060.61,0.00,619.40,1,27750.00,1.85,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Ana,0,0.00,2,30000.00,27,144003.86,29,174003.86,5122.42,0.00,0.00,504.33,4,140100.00,9.34,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Praxedes,0,0.00,0,0.00,14,12661.48,14,12661.48,694.57,12042.08,0.00,619.40,0,0.00,0.00,0,0.00,High Value Crops | Rice Program | SAAD,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Teresita,1,10888.00,1,15000.00,18,40325.44,20,66213.44,16662.50,0.00,11021.11,504.33,1,26100.00,1.74,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santo Ni?o (Faire),0,0.00,0,0.00,9,619.40,9,619.40,686.23,0.00,0.00,619.40,0,0.00,0.00,0,0.00,High Value Crops,fy_2027_hvcdp.xlsx
Cagayan,Solana,1,15000.00,3,45000.00,28,155146.77,32,215146.77,53209.60,13060.61,26814.67,1346.49,5,111225.00,7.41,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Tuao,1,15000.00,1,15000.00,20,57321.77,22,87321.77,42949.60,13060.61,22914.67,1346.49,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Tuguegarao City (Capital),0,0.00,0,0.00,24,67356.77,24,67356.77,42956.10,13060.61,30664.67,1346.49,0,0.00,0.00,1,1000.00,AFLO | Corn Program | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Isabela,Alicia,8,103900.00,4,60000.00,22,292157.14,34,456057.14,39857.35,23186.67,0.00,7138.34,4,260332.13,15.78,0,0.00,Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,Angadanan,2,30000.00,2,30000.00,21,73440.68,25,133440.68,310850.35,23186.67,7115.67,7138.34,1,36000.00,2.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,Aurora,0,0.00,2,42500.00,28,57893.69,30,100393.69,342804.74,16235.37,19359.62,4598.70,1,15000.00,1.00,3,350.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Benito Soliven,7,215400.00,5,65000.00,29,47437.48,41,327837.48,219681.41,6826.98,19608.00,327.10,1,15000.00,1.00,2,2250.00,Corn Program | Farm-to-Market Roads | High Value Crops | MCRA | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
