source_file,sheet,province,district,municipality,year,program,commodity,office_function,tier_1,tier_2,activity,unit,physical_target,budget,length_km,allocation_method,source_note
all_programs_2027.xlsx,IES,Isabela,,Gamu,2027,Rice Program,Rice Seed System,Production Support Services,Technical Support Services,Production Support Services,Tunnel-Type Solar Dryer,4 unit,4.00,1200.00,,ALL PROGRAMS 2027 municipality split,"A tunnel-type solar dryer is a semi-cylindrical (greenhouse-shaped) enclosed drying structure that uses solar energy to dry agricultural products efficiently and hygienically. It is widely used for rice seeds, grains, fruits, vegetables, fish, and other high-value crops—especially suitable for seed production systems where controlled drying is critical. | ✅ No additional infrastructure required ✅ Shovel-ready | 📌Improving seed quality 📌 Reduces postharvest losses | ✅ Support seed security program"
all_programs_2027.xlsx,IES,Isabela,,Gamu,2027,Rice Program,Rice Seed System,Production Support Services,Technical Support Services,Production Support Services,Solar-powered irrigation System,1unit,1.00,2000.00,,ALL PROGRAMS 2027 municipality split,"An Automated Solar-Powered Water Management System for Inbred Rice Seed Production is a smart irrigation setup designed to provide precise, reliable, and energy-efficient water control tailored to the strict requirements of seed production fields. Because inbred rice seed production requires uniform plant growth, controlled flowering, and genetic purity, water management must be highly accurate. Even small moisture stress can reduce seed quality, yield, and purity. | ✅ Technical Feasibility Study (target completion by 2026) ✅ | Continous water supply ,Precision Irrigation,Improved seed yield and qualituy | ✅ Support seed security program"
all_programs_2027.xlsx,IES,Isabela,,Gamu,2027,Rice Program,Rice Seed System,Production Support Services,Technical Support Services,Production Support Services,Improvement of Road Network from Rice Seed Production Sites,200 li. m,200.00,2000.00,,ALL PROGRAMS 2027 municipality split,"The proposed project involves the construction/improvement of a 200-linear-meter farm-to-market road (FMR) connecting the rice seed production area (IES or seed cluster) to the nearest barangay or municipal road. The road will provide all-weather access for transporting harvested rice seeds, farm inputs, and agricultural equipment. | ✅ Plans, Designs and Cost estimate already prepared ✅ Standard rural concrete road design applicable | 📌Easy access for trucks during peak harvest 📌 Improves access for seed certification personnel Lower transport time and fuel use | ✅ Support seed security program"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,,Tuao,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Rice Processing Center,1 unit,1.00,324000.00,,ALL PROGRAMS 2027 municipality split,"A state-of-the art processing facility with set of drying and milling equipment that aims to reduce postharvest losses, increase milling recovery and ultimately boost farmers' income. | ✅ Technical Feasibility Study (target completion by 2026) ✅ LGU Support thru MOA (target by 2026) | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | ✅ Local Agriculture and Fishery Mechanization Plan ✅ Food Security Plan ✅ Provincial Commodity Investment Plan"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,,Solana,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Automated Multi Commodity Vegetable Seed sorter,1 unit,1.00,2000.00,,ALL PROGRAMS 2027 municipality split,"installation of an automated seed sorting machine capable of handling multiple vegetable crops (tomato, ampalaya, bell pepper, eggplant, etc) to ensure high-quality, uniform, and marketable seeds. Produce high-quality, uniform vegetable seeds efficiently through automated sorting, supporting local seed production/system . | Existing seed processing facility ready | Improving seed quality | supports local seed system and high-value crop program"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,,Solana,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Smart Irrigation and Fertigation System for Seed Production/Seed system,2 unit,2.00,2000.00,,ALL PROGRAMS 2027 municipality split,"Installation of an automated irrigation system integrated with fertigation technology to ensure precise and efficient delivery of water and nutrients for rice/vegetable seed production and research plots, improving seed yield, quality, and resource efficiency. | Existing Solar Irrigation /water source | Water and nutreint use efficiency , cost reduction and operational efficiency | supports local seed system and high-value crop program"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,1,Amulung,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Hybrid irrigation System,2unit,1.00,1250.00,,ALL PROGRAMS 2027 municipality split,"Combines conventional irrigation (canals, pumps, sluices) with automated soil moisture-controlled irrigation for rice seed production plots and research trial areas. Ensures efficient and continuous water supply for both seed multiplication and research activities. | Existing facilities and irrigated land available | Continous water supply ,Precision Irrigation,Improved seed yield and qualituy | Support seed security program"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,1,Iguig,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Hybrid irrigation System,2unit,1.00,1250.00,,ALL PROGRAMS 2027 municipality split,"Combines conventional irrigation (canals, pumps, sluices) with automated soil moisture-controlled irrigation for rice seed production plots and research trial areas. Ensures efficient and continuous water supply for both seed multiplication and research activities. | Existing facilities and irrigated land available | Continous water supply ,Precision Irrigation,Improved seed yield and qualituy | Support seed security program"
all_programs_2027.xlsx,SCRC_SEED SYSTEM _HIGH IMPACT,Cagayan,,Iguig,2027,Research and Development (R4),Rice and Vegetable Seed System,Production Support Services,Technical Support Services,Production Support Services,Mushroom House Production: Environmental Control System,1 unit,1.00,1200.00,,ALL PROGRAMS 2027 municipality split,"Mushroom Production System a design and control system for monitoring and managing the environmental conditions in mushroom production. This allows producers to monitor, temperature, humidity, light intensity and/even carbon dioxide concentration using sensor. Mushroom house ventilation, water system and cooling system . | Existing facilities available | Enhance productivity and increase income of farmers | Food security program"
all_programs_2027.xlsx,RICE,Cagayan,1,Alcala,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Aparri,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Baggao,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
all_programs_2027.xlsx,RICE,Cagayan,1,Buguey,2027,Rice Program,RICE,Production Support Services,Technical Support Services,Production Support Services,1. Hybrid Seeds and Inorganic Fertilizers,67278,6727.80,60550.60,,ALL PROGRAMS 2027 municipality split,Promotion of High Quality Seeds of Recommended Hybrid Rice Varieties and Adoptive Balanced Fertilization to Rice Farmers | Hybrid Seeds NSIC Registered Varieties Preferred by Farmers and with good eating quality Tested in Research Trials and Technology Fora in Region 02 Inorganic Fertilizers FPA Regsistered for Rice Tested in Research Trials and Technology Fora in Region 02 | 📌 Poverty Reduction 📌 Increasing Income for Farmers & Fisherfolk 📌 Enhancing productivity 📌 Improving Food Security and Proper Nutrition 📌 Reducing Import Dependency | Food Security Plan
