source_file,sheet,province,text
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Delfin Albano
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
isabela_1.xlsx,CORN,Isabela,Sto. Tomas
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,1. RUNRUNO MULTIPURPOSE COOPERATIVE
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Runruno
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Nueva Vizcaya 2. DUR-AS Agriculture Cooperative
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Duruarug
nueva_vizcaya.xlsx,OAP,Nueva Vizcaya,Nueva Vizcaya
