source_file,sheet,province,district,municipality,year,program,commodity,office_function,tier_1,tier_2,result_level,pap_type,prexc_program,prexc_subprogram,indicator_id,indicator_level_1,indicator_level_2,indicator_level_3,indicator_specify_type,indicator_match_basis,result_chain,data_structure_note,activity,activity_context,original_activity,unit,physical_target,budget,original_physical_target,original_budget,target_count,target_scope,length_km,allocation_method,source_row,source_note
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2025,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,"Matched activity/unit terms: CONCRETING, FMR",Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.",Concreting of Viewdeck- Sitio Pasduxan FMR,FMR,ITBAYAT,Sta. Rosa,,15000.00,,15000.00,1,Itbayat,1.00,direct municipality row,9,Concreting of Viewdeck- Sitio Pasduxan FMR
batanes.xlsx,FMR,Batanes,LONE,Uyugan,2025,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,"Matched activity/unit terms: CONCRETING, FMR",Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.",Concreting of Gi- Arani- Vadinaran FMR,FMR,UYUGAN,Kayuganan,,15000.00,,15000.00,1,Uyugan,1.00,direct municipality row,10,Concreting of Gi- Arani- Vadinaran FMR
batanes.xlsx,FMR,Batanes,LONE,Ivana,2026,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,"Matched activity/unit terms: CONCRETING, FMR",Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Concreting of Vatang-Matu FMR, Brgy. San Vicente, Ivana, Batanes",FMR,IVANA,San Vicente,,20000.00,,20000.00,1,Ivana,1.33,direct municipality row,13,"Concreting of Vatang-Matu FMR, Brgy. San Vicente, Ivana, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Itbayat,2026,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,"Matched activity/unit terms: CONCRETING, FMR",Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Concreting of Katuyan, Sta. Rosa FMR, Itbayat, Batanes",FMR,ITBAYAT,Sta. Rosa,,20000.00,,20000.00,1,Itbayat,1.00,direct municipality row,14,"Concreting of Katuyan, Sta. Rosa FMR, Itbayat, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Mahatao,2026,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,"Matched activity/unit terms: CONCRETING, FMR",Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Concreting of Chaina-Tayaran-Gidem FMR, Phase III Brgy. Panatayan, Mahatao, Batanes",FMR,MAHATAO,Panatayan,,10000.00,,10000.00,1,Mahatao,0.50,direct municipality row,15,"Concreting of Chaina-Tayaran-Gidem FMR, Phase III Brgy. Panatayan, Mahatao, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2026,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,Matched activity/unit terms: FMR,Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Construction of Diajang to Divia FMR, Phase I , Brgy. San Antonio, Basco, Batanes",FMR,BASCO,San Antonio,,15000.00,,15000.00,1,Basco (Capital),0.50,direct municipality row,16,"Construction of Diajang to Divia FMR, Phase I , Brgy. San Antonio, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,Matched activity/unit terms: FMR,Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Construction of Charatayan-San Miguel Phase II FMR, Brgy. Kayvaluganan, Basco, Batanes",FMR,BASCO,Kayvaluganan,,7500.00,,7500.00,1,Basco (Capital),0.30,direct municipality row,19,"Construction of Charatayan-San Miguel Phase II FMR, Brgy. Kayvaluganan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,Matched activity/unit terms: FMR,Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Construction of Vahangsien-Nayep Phase II FMR, Brgy. Kayhuvukan, Basco, Batanes",FMR,BASCO,Kayhuvukan,,12500.00,,12500.00,1,Basco (Capital),0.50,direct municipality row,20,"Construction of Vahangsien-Nayep Phase II FMR, Brgy. Kayhuvukan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Basco (Capital),2027,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,Matched activity/unit terms: FMR,Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Construction of Diuran-Satuvang FMR, Brgy. Kayhuvukan, Basco, Batanes",FMR,BASCO,Kayhuvukan,,12500.00,,12500.00,1,Basco (Capital),0.50,direct municipality row,21,"Construction of Diuran-Satuvang FMR, Brgy. Kayhuvukan, Basco, Batanes"
batanes.xlsx,FMR,Batanes,LONE,Mahatao,2027,Farm-to-Market Roads,,Market Development Services,Other Functions,Market Development Services,Operational output,Project,Other Functions,Market Development Services,,Infrastructure projects completed,Farm-to-market roads constructed/rehabilitated,FMR length or project count,,Matched activity/unit terms: FMR,Outcome framework -> PREXC/OPIF program -> PAP -> operational output -> performance indicator,"Grouped using OPIF/PREXC guidance and the relevant-indicators workbook fields: PREXC Program, PREXC Sub-Program, PI Level 1, PI Level 2, PI Level 3, Unit.","Construction of Diseb-Tavadang FMR, Uvoy, Mahatao, Batanes",FMR,MAHATAO,Uvoy,,12500.00,,12500.00,1,Mahatao,0.50,direct municipality row,22,"Construction of Diseb-Tavadang FMR, Uvoy, Mahatao, Batanes"
