station,province,latitude,longitude,year,season_type,season,months,rainfall_mm,available_months,source_url
Aparri,Cagayan,18.35,121.6167,1991,climatological,DJF,Dec-Jan-Feb,188.5,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,climatological,JJA,Jun-Jul-Aug,756.6,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,climatological,MAM,Mar-Apr-May,38,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,climatological,SON,Sep-Oct-Nov,902.1,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,philippine,Dry Season,Nov-Dec-Jan-Feb-Mar-Apr,496,6,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1991,philippine,Wet Season,May-Jun-Jul-Aug-Sep-Oct,1389.2,6,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,climatological,DJF,Dec-Jan-Feb,223.6,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,climatological,JJA,Jun-Jul-Aug,404.1,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,climatological,MAM,Mar-Apr-May,181.4,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
Aparri,Cagayan,18.35,121.6167,1992,climatological,SON,Sep-Oct-Nov,787,3,https://app.powerbi.com/view?r=eyJrIjoiOTJkN2U4MjUtYWE1Ny00NzA4LWExMzctMDBiYjQ2NjZiZWVjIiwidCI6ImJkMDNhNzM1LTJhYTMtNGNjYS05NzIyLTJhZTQ5MjlhYjNlYyIsImMiOjEwfQ%3D%3D&pageName=adfba30c52355c5b1631
