province,municipality,district,rsba_registry_count,rsba_crop_area_ha,rsba_avg_age,rsba_latitude,rsba_longitude,rsba_rice_count,rsba_rice_area_ha,rsba_corn_count,rsba_corn_area_ha,rsba_hvc_count,rsba_hvc_area_ha,rsba_top_crop,rsba_top_crop_count,rsba_male_count,rsba_female_count,rsba_female_pct,rsba_youth_count,rsba_youth_pct,rsba_millennial_count,rsba_senior_count,rsba_farmer_count,rsba_farmworker_count,rsba_fisherfolk_count,rsba_ip_count,rsba_pwd_count,rsba_4ps_count,rsba_fca_count,rsba_fca_pct,rsba_agriyouth_count,rsba_arb_count,rsba_organic_count,rsba_with_imc_count,rsba_imc_pct,rsba_rice_share_pct,rsba_corn_share_pct,rsba_fca_gap_pct,rsba_imc_gap_pct
BATANES,BASCO Capital,LONE,1257,152.8,54.4,20.463400000000259,122.00420000000341,20,2.24,108,20.2,2387,130.37,Pigs or swine,284,825,432,34.4,65,5.2,341,341,720,221,573,962,28,18,155,12.3,8,34,584,11,0.9,1.6,8.6,87.7,99
BATANES,ITBAYAT,LONE,1007,406.59,57,20.787777999999594,121.84138900000379,300,80.54,392,90.86,2386,235.19,Corn,392,671,336,33.4,17,1.7,254,369,632,100,421,896,13,25,181,18,0,275,465,206,20.5,29.8,38.9,82,79.5
BATANES,IVANA,LONE,589,172.48,55.3,20.378100000000693,121.93020000000155,1,1,17,3.02,1375,168.46,Pigs or swine,208,340,249,42.3,45,7.6,165,188,397,41,210,495,4,4,229,38.9,5,6,308,0,0,0.2,2.9,61.1,100
BATANES,MAHATAO,LONE,512,110.1,57.3,20.405200000000029,121.95299999999763,2,0.11,6,0.25,861,109.74,Other fruit-bearing vegetables,130,359,153,29.9,26,5,121,194,286,78,233,385,9,0,65,12.7,2,166,172,0,0,0.4,1.2,87.3,100
BATANES,SABTANG,LONE,969,98.11,56.1,20.334999999999503,121.87194400000377,0,0,70,8.66,1050,89.46,Other fruit-bearing vegetables,227,594,375,38.7,68,7,258,325,493,178,472,764,19,23,32,3.3,13,93,345,0,0,0,7.2,96.7,100
BATANES,UYUGAN,LONE,749,69.95,53.1,20.373400000000274,121.95299999999979,2,0.1,20,3.55,1067,66.3,Other fruit-bearing vegetables,202,427,322,43,137,18.3,159,178,442,29,309,587,18,9,153,20.4,42,173,278,0,0,0.3,2.7,79.6,100
CAGAYAN,ABULUG,2ND,10500,9426.84,52.9,18.443610999997027,121.45722199999803,4452,7333.64,1156,1738.43,2347,354.76,Rice/Palay,4452,6294,4206,40.1,430,4,2966,3066,5619,3121,3356,329,87,707,1073,10.2,0,4482,19,2915,27.8,42.4,11,89.8,72.2
CAGAYAN,ALCALA,1ST,9854,10279.44,53.1,17.90249999999774,121.65666699998008,4912,4719.44,4290,5505.75,545,54.26,Rice/Palay,4912,5715,4139,42,375,3.8,2730,3107,6474,3113,1151,7,62,679,905,9.2,74,3133,29,4108,41.7,49.8,43.5,90.8,58.3
CAGAYAN,ALLACAPAN,2ND,9367,12127.67,52.1,18.225832999999859,121.5544439999576,4713,9020.88,1137,1582.98,5979,1523.81,Rice/Palay,4713,5312,4055,43.3,565,6,3043,2392,5068,4805,695,231,99,692,592,6.3,25,5031,49,2936,31.3,50.3,12,93.7,68.7
CAGAYAN,AMULUNG,3RD,12197,17422.82,51.7,17.8372220000013,121.72333299998137,5207,8094.39,5473,9294.64,365,33.79,Corn,5473,7905,4292,35.2,388,3.2,3968,3493,7955,4471,1254,179,190,1073,541,4.4,0,5013,49,3832,31.4,42.7,44.9,95.6,68.6
CAGAYAN,APARRI,1ST,14543,9701.26,52,18.35722200000091,121.63722199997387,5641,9286.25,247,283.75,2223,131.27,Rice/Palay,5641,9535,5008,34.4,480,3.3,4538,4086,5778,4021,7486,2448,171,1540,1614,11,0,6108,81,3866,26.6,38.8,1.7,88.9,73.4
CAGAYAN,BAGGAO,1ST,15493,31376.53,52,18.271110999992803,121.68000000004399,9246,10547.18,11062,20609.14,13711,220.2,Corn,11062,10964,4529,29.2,637,4,4980,4273,13815,6885,1576,105,210,1185,1836,11.9,13,1788,74,7308,47.2,59.7,71.4,88,52.8
CAGAYAN,BALLESTEROS,2ND,8347,7003.24,53.7,18.410000000002231,121.51527799999259,3308,6224.26,30,31.98,2965,747,Rice/Palay,3308,5171,3176,38,203,2.4,2337,2706,4152,2726,2401,21,53,627,419,5,0,2978,228,2226,26.7,39.6,0.4,95,73.3
CAGAYAN,BUGUEY,1ST,8238,6910.23,52.1,18.286388999997182,121.83472200001967,3487,5379.18,718,1352.73,734,178.32,Rice/Palay,3487,5071,3167,38.4,292,3.5,2515,2386,3697,2366,3006,42,72,562,989,12,0,3068,10,2394,29.1,42.3,8.7,88,70.9
CAGAYAN,CALAYAN,2ND,4388,2834.13,49.7,19.261943999998923,121.47583300000429,1737,993.88,1051,825.14,4604,1015.12,Rice/Palay,1737,3288,1100,25.1,118,2.7,1570,973,2640,798,1975,126,60,660,385,8.8,0,740,119,1463,33.3,39.6,24,91.2,66.7
CAGAYAN,CAMALANIUGAN,1ST,5443,5530.97,51.7,18.274999999998062,121.674444000003,2879,5136.01,240,364.88,488,30.08,Rice/Palay,2879,3650,1793,32.9,363,6.7,1585,1643,2960,2542,638,218,105,404,1010,18.6,0,2873,42,1853,34,52.9,4.4,81.4,66
CAGAYAN,CLAVERIA,2ND,9675,4034.43,51.2,18.608888999997539,121.08388899997496,3538,3808.32,16,15.73,1895,210.38,Rice/Palay,3538,6416,3259,33.7,1030,10.6,2482,2816,4408,2452,3687,42,98,400,2699,27.9,109,3009,36,2447,25.3,36.6,0.2,72,74.7
CAGAYAN,ENRILE,3RD,6320,7835.25,53.6,17.560832999998606,121.68944400001138,2767,4956.64,2094,2714.5,1073,164.1,Rice/Palay,2767,3974,2346,37.1,285,4.5,1794,1955,3711,2513,564,249,50,440,91,1.4,54,2697,8,1707,27,43.8,33.1,98.6,73
CAGAYAN,GATTARAN,1ST,14044,18346.42,52.7,18.061388999998375,121.64333299997192,6928,8235.05,5806,9611.76,1143,499.61,Rice/Palay,6928,8521,5523,39.3,718,5,4083,4243,9452,4881,1486,262,212,944,1392,9.9,0,4603,119,5368,38.2,49.3,41.3,90,61.8
CAGAYAN,GONZAGA,1ST,9609,11141.65,51.9,18.259444000001462,121.99361100000939,4368,5406.03,2672,5553.28,6092,182.35,Rice/Palay,4368,6310,3299,34.3,288,3,2776,2632,5364,3722,3044,426,69,832,2588,26.9,0,3241,258,3133,32.6,45.5,27.8,73,67.4
CAGAYAN,IGUIG,3RD,4427,4503.45,53.1,17.752500000001323,121.73805599998468,1881,1836.15,1564,2615.11,577,52.19,Rice/Palay,1881,2797,1630,36.8,289,6.5,1145,1442,2703,1067,808,576,32,431,241,5.4,55,899,17,1573,35.5,42.5,35.3,94.6,64.5
CAGAYAN,LAL LO,1ST,11354,14013.02,53.2,18.201388999996603,121.66083299998222,5074,7398.94,3773,6218.72,2531,395.36,Rice/Palay,5074,6847,4507,39.7,370,3.3,3229,3565,6496,4659,1375,513,451,878,643,5.7,2,5119,50,3553,31.3,44.7,33.2,94.3,68.7
CAGAYAN,LASAM,2ND,9748,11649.23,54.1,18.064443999997017,121.60138899997334,4937,7717.4,2312,3378.66,4186,553.16,Rice/Palay,4937,5489,4259,43.7,441,4.5,2564,3133,5585,5023,765,83,101,700,334,3.4,1,5133,78,3745,38.4,50.6,23.7,96.6,61.6
CAGAYAN,PAMPLONA,2ND,7176,6747.78,52,18.463611000002718,121.34111100001411,3069,4981.66,751,1072.28,1643,693.83,Rice/Palay,3069,4558,2618,36.5,336,4.7,2032,2040,4247,2412,1927,341,77,679,1640,22.9,0,2298,41,2171,30.3,42.8,10.5,77,69.7
CAGAYAN,PEÑABLANCA,3RD,8952,13244.79,52.4,17.625556000002753,121.78527799998417,2059,1778.9,6612,11398.99,6187,66.9,Corn,6612,4721,4231,47.3,516,5.8,2815,2545,7327,2021,951,5064,76,922,606,6.8,0,1501,389,1833,20.5,23,73.9,93.2,79.5
CAGAYAN,PIAT,2ND,4038,7308.83,55.6,17.791667000000835,121.47694399999554,2263,3442.26,2521,3457.7,3790,408.87,Corn,2521,2470,1568,38.8,181,4.5,1021,1390,3749,202,157,61,38,195,279,6.9,0,825,95,1571,38.9,56,62.4,93,61.1
CAGAYAN,RIZAL,2ND,5093,7531.52,51.6,17.845832999999505,121.34583300001776,1810,1510.34,3593,5288.48,1325,732.7,Corn,3593,2826,2267,44.5,378,7.4,1497,1408,4081,790,594,3595,53,697,301,5.9,0,865,30,1316,25.8,35.5,70.5,94,74.2
CAGAYAN,SANCHEZ MIRA,2ND,5326,3253.45,53.5,18.559166999999618,121.2347219999984,2005,2940.22,75,70.43,642,242.8,Rice/Palay,2005,3407,1919,36,177,3.3,1378,1707,2678,1392,1683,172,43,356,1145,21.5,0,2304,12,1271,23.9,37.6,1.4,78.5,76
CAGAYAN,SANTA ANA,1ST,8911,4195.87,45.9,18.457499999998223,122.14249999999369,2565,3674.86,187,255.29,660,265.72,Rice/Palay,2565,5614,3297,37,1631,18.3,2710,1648,2748,2167,3869,85,158,1099,1445,16.2,6,4752,62,1741,19.5,28.8,2.1,83.8,80.5
CAGAYAN,SANTA PRAXEDES,2ND,1839,581.96,51.2,18.563055999999619,120.98999999999647,563,405.95,2,2.58,576,173.43,Rice/Palay,563,1147,692,37.6,181,9.8,514,502,746,908,615,184,18,132,709,38.6,4,732,42,463,25.2,30.6,0.1,61.4,74.8
CAGAYAN,SANTA TERESITA,1ST,6242,6510.93,51.6,18.24861099999961,121.90916699998398,2974,3564.11,1793,2814.11,1055,132.7,Rice/Palay,2974,3492,2750,44.1,302,4.8,1988,1755,3744,2000,992,31,59,378,1162,18.6,1,2132,139,2105,33.7,47.6,28.7,81.4,66.3
CAGAYAN,SANTO NIÑO FAIRE,2ND,8237,9437.47,51.7,17.883888999995857,121.56916700000637,4083,4614.67,3736,4700.66,4237,122.13,Rice/Palay,4083,4834,3403,41.3,718,8.7,2503,2164,5486,3435,586,142,53,1176,328,4,0,3080,210,3221,39.1,49.6,45.4,96,60.9
CAGAYAN,SOLANA,3RD,16613,23083.86,51.5,17.650833000004514,121.69083300000044,9062,15036.9,4929,7483.49,3858,563.17,Rice/Palay,9062,10939,5674,34.2,1190,7.2,5095,4601,12145,4376,484,402,123,1681,1711,10.3,19,6281,89,5970,35.9,54.5,29.7,89.7,64
CAGAYAN,TUAO,3RD,11995,14574.5,53.5,17.734721999998772,121.45527800002534,7908,10545.61,3056,3556.18,2760,472.71,Rice/Palay,7908,6450,5545,46.2,483,4,3322,3922,9446,2712,677,112,114,747,567,4.7,53,3621,50,5378,44.8,65.9,25.5,95.3,55.2
CAGAYAN,TUGUEGARAO CITY Capital,3RD,3791,5579.07,56.4,17.612500000001816,121.73277799998263,1206,1642.96,2664,3803.85,2519,132.25,Corn,2664,2713,1078,28.4,99,2.6,901,1434,3224,472,300,1292,49,109,854,22.5,4,453,122,836,22.1,31.8,70.3,77.5,77.9
ISABELA,ALICIA,3RD,10373,8928.97,52.4,16.778889000000319,121.69916699999004,4950,8831.25,43,67.71,108,30,Rice/Palay,4950,6279,4094,39.5,443,4.3,2885,3261,4970,6039,335,230,211,719,1558,15,0,5355,48,3400,32.8,47.7,0.4,85,67.2
ISABELA,ANGADANAN,3RD,11790,11762.19,51.4,16.75666700000329,121.7480560000369,4036,4788.05,4327,6559.16,1789,414.97,Corn,4327,6827,4963,42.1,823,7,3655,3272,5953,7343,723,3081,142,1424,490,4.2,7,6479,91,2978,25.3,34.2,36.7,95.8,74.7
