trend_scope,year,month,month_num,commodity_group,pest_family,province,municipality,incident_records,incident_points,affected_area_ha,affected_farmers,treated_area_ha,untreated_area_ha,treatment_gap_ha,avg_infestation_pct,max_infestation_pct,avg_severity,high_severity_records,top_pest_family,top_commodity,risk_score,risk_class
region_month,2015,January,1,,,,,14,13,4925.6,0,4888.6,0,0,1.26,5,0,0,Rodents,rice,18.61,Watchlist
region_month,2015,July,7,,,,,5,5,108,0,93,0,0,7.3,12.5,0,0,Rodents,rice,4.52,Watchlist
region_month,2016,January,1,,,,,2,2,681,0,671,0,0,1.5,1.5,0,0,Rodents,rice,18.5,Watchlist
region_month,2016,February,2,,,,,11,11,2934.2,0,2899.2,0,0,0.78,2,0,0,Rodents,rice,23.84,Watchlist
region_month,2016,March,3,,,,,7,7,125.05,0,125.05,0,0,11.33,35,0,0,Rodents,rice,4.67,Watchlist
region_month,2016,August,8,,,,,2,2,166,0,166,0,0,2.88,5,0,0,Rodents,rice,11.1,Watchlist
region_month,2016,September,9,,,,,2,2,5,0,5,0,0,0.75,0.75,0,0,Rice Tungro Virus,rice,0.5,Watchlist
region_month,2016,December,12,,,,,4,4,88,0,88,0,0,1.12,1.5,0,0,Rodents,rice,3.05,Watchlist
region_month,2017,January,1,,,,,10,10,1365.46,0,1365.46,0,0,4.62,12.5,0,0,Cutworm/Armyworm,rice,14.25,Watchlist
region_month,2017,February,2,,,,,8,8,1994.65,0,1994.65,0,0,13.34,65,0,1,Bacterial Leaf Streak,rice,22.5,Watchlist
region_month,2017,March,3,,,,,7,7,96.5,0,96.5,0,0,4.36,10.5,0,0,Plant Hopper,rice,2.83,Watchlist
region_month,2017,May,5,,,,,2,2,106,0,106,0,0,11.25,12.5,0,0,Plant Hopper,rice,9.45,Watchlist
region_month,2017,July-August,7,,,,,8,8,1301,0,1301,0,0,3.12,5,0,0,Bacterial Leaf Streak,rice,12.61,Watchlist
region_month,2017,August,8,,,,,12,12,769.9,0,754.9,0,0,2.7,5,0,0,Bacterial Leaf Streak,rice,8.58,Watchlist
region_month,2017,September,9,,,,,1,1,10,0,10,0,0,2,2,0,0,Rbb,rice,1.8,Watchlist
region_month,2017,December,12,,,,,3,3,55.5,0,55.5,0,0,5,7.5,0,0,Rbb,rice,3.57,Watchlist
region_month,2018,January,1,,,,,14,14,1918.45,0,1918.45,0,0,1.62,2,0,0,Rodents,rice,12.93,Watchlist
region_month,2018,February,2,,,,,3,3,206,0,206,0,0,7.25,12.5,0,0,Bacterial Leaf Streak,rice,9.8,Watchlist
region_month,2019,January,1,,,,,30,30,818,0,818,0,0,1.8,5,0,0,Rodents,rice,3.86,Watchlist
region_month,2019,February,2,,,,,64,62,151.05,0,148.05,0,0,3.12,20,0,0,Rbb,rice,1.08,Watchlist
region_month,2019,March,3,,,,,62,62,211.74,0,211.74,0,0,2.44,20,0,0,Stem/Shoot/Fruit Borer,rice,1.04,Watchlist
region_month,2019,April,4,,,,,25,25,115.3,0,115.3,0,0,5.52,20,0,0,Plant Hopper,rice,1.95,Watchlist
region_month,2019,May,5,,,,,8,8,11.9,0,11.9,0,0,2.25,5,0,0,Blast/Blight/Spot,rice,0.76,Watchlist
region_month,2019,June,6,,,,,8,8,23.6,0,23.6,0,0,5.25,20,0,0,Disease - Fungal/Bacterial,corn,1.69,Watchlist
region_month,2019,July,7,,,,,29,29,98.25,0,98.25,0,0,11.66,70,0,2,Fall Armyworm,corn,3.35,Watchlist
region_month,2019,August,8,,,,,28,28,58.3,0,58.3,0,0,12.86,80,0,2,Fall Armyworm,corn,3.47,Watchlist
region_month,2019,September,9,,,,,36,36,20.46,0,20.46,0,0,9.08,50,0,1,Fall Armyworm,corn,2.34,Watchlist
region_month,2019,October,10,,,,,88,88,308.94,0,298.94,0,0,14.81,62,0,6,Fall Armyworm,corn,4.14,Watchlist
region_month,2019,November,11,,,,,99,99,157.03,0,157.03,0,0,14.1,50,0,1,Fall Armyworm,corn,3.69,Watchlist
region_month,2019,December,12,,,,,10,10,14.2,0,14.2,0,0,12,26,0,0,Fall Armyworm,corn,3.19,Watchlist
region_month,2020,January,1,,,,,23,23,64.4,0,64.4,0,0,16.71,70,0,1,Fall Armyworm,corn,4.53,Watchlist
region_month,2020,February,2,,,,,209,209,3781.15,0,3781.15,0,0,28.94,90,0,20,Fall Armyworm,corn,9.5,Watchlist
region_month,2020,MARCH,3,,,,,62,62,502.6,0,502.6,0,0,33.53,80,0,9,Fall Armyworm,corn,9.39,Watchlist
region_month,2020,April,4,,,,,5,5,15,0,15,0,0,32,40,0,0,Fall Armyworm,corn,8.36,Watchlist
region_month,2020,May,5,,,,,27,27,199.68,0,199.68,0,0,33.26,100,0,6,Fall Armyworm,corn,9.24,Watchlist
region_month,2020,June,6,,,,,152,150,3115.26,0,3115.26,0,0,29.69,95,0,28,Fall Armyworm,corn,9.89,Watchlist
region_month,2020,July,7,,,,,119,119,2031.78,0,2031.78,0,0,23.56,100,0,14,Fall Armyworm,corn,8.02,Watchlist
region_month,2020,August,8,,,,,43,43,418.63,5,418.63,0,0,31.12,98,0,11,Fall Armyworm,corn,8.83,Watchlist
region_month,2020,September,9,,,,,38,38,580.65,0,580.65,0,0,27.97,100,0,9,Fall Armyworm,rice,8.54,Watchlist
region_month,2020,October,10,,,,,60,60,545.15,0,545.15,0,0,14.57,80,0,6,Fall Armyworm,corn,4.78,Watchlist
region_month,2020,November,11,,,,,45,45,619.65,1,629.65,990,990,14.31,75,0,3,Fall Armyworm,corn,5.53,Watchlist
region_month,2020,December,12,,,,,22,22,681.4,91,136.4,545,545,15.94,40,0,0,Fall Armyworm,corn,7.82,Watchlist
region_month,2021,January,1,,,,,108,108,2293.44,498,2293.44,0,0,14.54,50,0,2,Fall Armyworm,rice,7.29,Watchlist
