SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR,
,,May,II,Isabela,Ilagan,Villa Imelda,17.08633,121.0214,Cassava,,1.5,Rayung 72,11 Months,CPD,,1.5,20,,,,,Advice farmer to burn the stalk after harvesting.,,"May 19, 2023",1,2023,
,,May,II,Isabela,Ilagan,Villa Imelda,17.08667,122.0138,Cassava,,1,Golden Yellow,11 Months,CPD,,1,10,,,,,Advice farmer to burn the stalk after harvesting.,,"May 19, 2023",1,2023,
,,May,II,Isabela,Naguilian,Quimalabasa,16.93718,121.8663,Cassava,,46,"Rayong 72, Rayong 5, KU-50",8 Months to 1 year,CPD,,32,45,,,,46,Advice farmers to burn the infected plants,,"May 24, 2023",17,2023,
,,May,II,Isabela,Naguilian,Cabaruan,16.93923,121.8639,Cassava,,60,"Rayong 72, Rayong 5, KU-50",8 Months to 1 year,CPD,,45,23,,,,60,Advice farmers to burn the infected plants,,"May 24, 2023",21,2023,
,,May,II,Isabela,Naguilian,Flores,16.97701,121.8562,Cassava,,10,"Rayong 72, Rayong 5",8 Months to 1 year,CPD,,10,45,,,,10,Advice farmers to burn the infected plants,,"May 24, 2023",3,2023,
,,May,II,Quirino,Aglipay,Ramos,16.47562,121.6628,Cassava,,60,"Rayong 72, Golden yellow",10 Months,CPD,,50,50,,,,,Advice farmers to sterilize the soil and change planting materials.,,"May 20, 2023",38,2023,
,,May,II,Quirino,Aglipay,San Antonio,16.46685,121.6569,Cassava,,10,"Rayong 72, Golden yellow",10 Months,CPD,,10,40,,,,,Change planting materials then sterilize the soil.,,"May 20, 2023",6,2023,
,,May,II,Quirino,Maddela,Dipintin,16.27973,121.6661,Cassava,,18,Golden yellow,10 months,CPD,,18,40,,,_,_,Advised farmers to select resistant variety and change the planting materials then sterilize the soil before planting.,,"May 25, 2023",15,2023,
,,May,II,Quirino,Maddela,Diduyon,16.3134,121.6535,Cassava,,16,Golden yellow,10 months,CPD,,16,30,,,_,_,Advised farmers to select resistant variety and change the planting materials then sterilize the soil before planting.,,"May 25, 2023",10,2023,
,,May,II,Quirino,Cabarroguis,Eden,16.44774,121.5542,Cassava,,6,"KU50, Rayong 72",7 months,CPD,,6,20,,,_,_,Advised farmers to sterilize the soil before planting and select resistant variety.,,"May 25, 2023",3,2023,
,,May,II,Quirino,Aglipay,Cabugao,16.45085,121.5608,Cassava,,50,"Rayong 72,golden yellow",10 months,CPD,,50,30,,,_,50,Change planting materials then sterilize the soil before planting.,,"May 26, 2023",43,2023,
,,May,II,Quirino,Cabarroguis,Banuar,16.50799,121.5574,Cassava,,20,"Rayong 72,golden yellow",11 months,CPD,,19,30,,,_,19,Change planting materials then sterilize the soil before planting,,"May 26, 2023",21,2023,
,,June,II,Isabela,Ilagan,Cabisera 9-11,17.06886,121.979,Cassava,,35,"Rayong 72, Golden Yellow",10 months,CPD,,35,95,,,_,35,Advised farmers to plant healthy planting materials next season.,,"June 15, 2923",48,2023,
,,June,II,Isabela,Ilagan,Cabisera 17-21,17.06892,121.976,Cassava,,45,"Rayong 72, Rayong 5",9 months,CPD,,45,95,,,_,45,Advised farmers to plant healthy planting materials next season.,,"June 15, 2923",60,2023,
,,June,II,Isabela,Ilagan,Rang-ayan,17.133331,121.99034,Cassava,,20,"Rayong72, 05, KU-50",Maturity,CPD,,11,70,,,-,20,Advised farmers to select healthy planting materials for next planting.,,"June 19, 2023",8,2023,
,,June,II,Isabela,San Mariano,Libertad,16.7782,122.16,Cassava,,110,"Rayong 5, 72, KU-50",Maturity,CPD,,25,75,,,-,110,Advised farmers to select healthy/resistant variety for next planting season.,,"June 14, 2023",30,2023,
,,June,II,Isabela,San Mariano,Casala,16.8848,122.1268,Cassava,,60,"Rayong 5, 72, KU-50",Maturity,CPD,,15,70,,,-,60,Advised farmers to select healthy/resistant variety for next planting season.,,"June 14, 2023",7,2023,
,,June,II,Isabela,San Mariano,Minanga,16.98618,122.03602,Cassava,,10,"Rayong 5, 72, KU-50",Maturity,CPD,,6,70,,,-,10,Advised farmers to select healthy/resistant variety for next planting season.,,"June 14, 2023",3,2023,
,,June,II,Isabela,Cauayan City,Cassap Puera,16.94095,121.81652,Cassava,,85,"KU50, Rayong 72",8 months,CPD,,85,90,,,-,85,Advised farmer to harvest and select healthy materials for the next cropping season.,,"June 29, 2023",97,2023,
,,June,II,Isabela,Cauayan City,San Pablo,16.9079,121.82847,Cassava,,80,"KU50, Rayong 72",6 months,CPD,,80,90,,,-,80,Advised farmer to harvest and select healthy materials for the next cropping season.,,"June 29, 2023",100,2023,
,,June,II,Isabela,Cauayan City,Cabugao,16.90621,121.85286,Cassava,,110,"KU50, Rayong 72",7 months,CPD,,110,90,,,-,110,Advised farmer to harvest and select healthy materials for the next cropping season.,,"June 29, 2023",88,2023,
,,May,II,Isabela,Naguilian,Quinalabasa,16.93718,121.8663,Cassava,,46,"Rayong 72, Rayong 5, KU-50",8 Months to 1 year,CPD,,32,45,,,_,46,Advised farmers to burn the infected plants,,"May 24, 2023",17,2023,
,,May,II,Isabela,Naguilian,Cabaruan,16.93923,121.8639,Cassava,,60,"Rayong 72, Rayong 5, KU-50",8 Months to 1 year,CPD,,45,45,,,_,60,Advised farmers to burn the infected plants,,"May 24, 2023",21,2023,
,,May,II,Isabela,Naguilian,Flores,16.97701,121.8562,Cassava,,10,"Rayong 72, Rayong 5",8 Months to 1 year,CPD,,10,45,,,_,10,Advised farmers to burn the infected plants,,"May 24, 2023",3,2023,
,,May,II,Isabela,Naguilian,Sta. Victoria,16.909615,121.885099,Cassava,,95,"Rayong, 72, 5, KU-50",8 Months to 1 year,CPD,,95,60,,,_,95,Advised farmers to burn the infected plants,,"June 01, 2023",80,2023,
,,August,II,Isabela,San Mariano,Marannao,16.94773,122.0485,Cassava,,9,"Rayong 05, Rayong 72",10 months,CPD,,5,70,,,0,9,"Some farmers used their own produce planting materials infected with disease whiches Broom up to 3rd Generation, Advice Farmers to select healthy planting materials to prevent the high incidence of CPD or infection of the plant.",,"August 1, 2023",2,2023,
,,August,II,Isabela,San Mariano,San Jose,16.9294,122.1149,Cassava,,8,"Rayong 05, Rayong 72",9 Months,CPD,,2,40,,,_,_,"Some farmers used their own produce planting materials infected with disease whiches Broom up to 3rd Generation, Advice Farmers to select healthy planting materials to prevent the high incidence of CPD or infection of the plant.",,"August 1, 2023",3,2023,
,,September,II,Quirino,Diffun,Doña Imelda,16.52087,121.482178,Cassava,,8,"KU50, Rayong72",11 months,CPD,,8,50,,,_,8,Advised farmers to select healthy planting materials for next planting.,,"September 14, 2023",5,2023,
,,September,II,Isabela,Ilagan City,9-Nov,17.07166,121.972903,Cassava,,50,KU 50,Maturity,Mealybug,,30,10,,,_,_,Advised farmers to harvest and select a better planting materials for the next planting.,,"September 14, 2023",20,2023,
,,September,II,Isabela,Ilagan City,Cabisera 17-21,17.06817,121.983,Cassava,,45,KU 50,Maturity,Mosaic,,10,5,,,_,_,Advised farmers to harvest and select a better planting materials for the next planting.,,"September 14, 2023",12,2023,
,,September,II,Isabela,Ilagan City,Cabisera 17-22,17.06878,121.976104,Cassava,,45,Rayong 72,Maturity,CPD,,20,25,,,_,_,Advised farmers to harvest and select a better planting materials for the next planting.,,"September 14, 2023",20,2023,
,,September,II,Isabela,Ilagan City,Sindun Maride,17.06801,121.985596,Cassava,,50,Rayong 72,Maturity,Brown spot,,35,20,,,_,_,Advised farmers to harvest and select a better planting materials for the next planting.,,"September 14, 2023",20,2023,
,,September,II,Quirino,Aglipay,Pinaripad Sur,16.4597,121.6054,Cassava,,3,"KU50, Rayong72",10 months,CPD,,3,10,,,0,3,Advised farmers to select healthy planting materials for next planting.,,"September 20, 2023",2,2023,
,,September,II,Quirino,Cabarroguis,Villarose,16.5,121.4833,Cassava,,1.3,Rayong72,10months,CPD,,1.3,10,,,0,1.3,Advised farmers to select healthy planting materials for next planting.,,"September 20, 2023",1,2023,
