SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
,,January,II,Isabela,Tumauini,3 Barangays,17.277078,121.879031,Corn,,248,Inbred,Reproductive Stage,Rodents,248,30,0.75,,,30,0,,,,,2015
,,January,II,Quirino,Maddela,2 Barangays,16.34408,121.68806,Corn,,"5,887.50",Hybrid yell0w,Seedling Stage,Rodents,"5,887.50",63,0.4,,,26,0,,,,,2015
,,January,II,Quirino,Maddela,2 Barangays,16.34408,121.68806,Corn,,"5,887.50",Hyrid Yell0w,Reproductive Stage,CPH,"5,887.50",50,0.5,,,50,0,,,,,2015
,,February,II,Isabela,Cabagan,,17.36078,121.879031,Corn,,600,Hybrid (yellow),Reproductive Stage,Rodents,600,125,0.06,,,125,0,,,,,2016
,,March,II,Quirino,Maddela,,16.34408,121.68806,Corn,,12596,Yellow hybrid,Reproductive Stage,CPH,12596,1,5,,,1,0,,,,,2016
,,December,II,Isabela,City of Ilagan,,17.126323,122.010102,Corn,,180,Hybrid (Yellow),Seedling Stage,Rodents,180,47,1,,,47,0,,,,,2016
,,January,II,Isabela,Tumauini,4 Barangays,17.277078,121.879031,Corn,,"7,800.00",Hybrid (Pioneer/NK),Reproductive Stage,CPH,"7,800.00",40,5,,,40,0,,,,,2017
,,January,II,Cagayan,Solana,9 Barangays,17.64634,121.68115,Corn,,"1,469.40",Hybrid (yellow),Seedling Stage,Cutworm,"1,469.40",318,5,,,318,0,,,,,2017
,,January,II,Cagayan,Amulung,1 Barangays,17.82969,121.72438,Corn,,260,Hybrid (yellow),Seedling Stage,Cutworm,260,40,5,,,40,0,,,,,2017
,,January,II,Cagayan,Enrile,1 Barangays,17.568859,121.651126,Corn,,1400,Hybrid (Yellow),Seedling Stage,Cutworm,1400,40,5,,,40,0,,,,,2017
,,February,II,Isabela,Cabagan,3 Barangays,17.36078,121.879031,Corn,,700,Hybrid (Yellow),Seedling Stage,Cutworm,700,655.65,5,,,655.65,0,,,,,2017
,,January,II,Isabela,Quirino,12 Barangays,17.175501,121.742343,Corn,,574,Hybrid (Yellow),Reproductive Stage,Rodents,574,58,1,,,58,0,,,,,2018
,,January,II,Isabela,Echague,12 Barangays,16.670136,121.717106,Corn,,30,Hybrid (Yellow),Reproductive Stage,Rodents,30,30,1,,,30,0,,,,,2018
,,January,II,Isabela,Tumauini,1 Barangays,17.277078,121.879031,Corn,,75,Hybrid (Yellow),Reproductive Stage,Rodents,75,75,1,,,75,0,,,,,2018
,,January,II,Isabela,Naguilian,6 Barangays,16.996839,121.867646,Corn,,250,Hybrid (Yellow),Reproductive Stage,Rodents,250,250,1,,,250,0,,,,,2018
,,January,II,Isabela,City of Ilagan,3 Barangays,17.126323,122.010102,Corn,,50,Hybrid (Yellow),Reproductive Stage,Rodents,50,50,1,,,50,0,,,,,2018
,,January,II,Cagayan,Solana,Sampaguita,17.6866,121.5929,Corn,,3,Pioneer,Reproductive Stage,Rodents,3,3,1,,,3,0,,,,,2019
,,January,II,Cagayan,Peña blanca,Nannarrian,17.6716,121.8136,Corn,,1,,Reproductive Stage,Rodents,1,1,1,,,1,0,,,,,2019
,,January,II,Cagayan,Peña blanca,Malibabag,17.691,121.8063,Corn,,1,,Reproductive Stage,Rodents,1,1,1,,,1,0,,,,,2019
,,January,II,Cagayan,Peña blanca,San Roque,17.6522,121.8081,Corn,,1,,Reproductive Stage,Rodents,1,1,1,,,1,0,,,,,2019
,,January,II,Cagayan,Peña blanca,Nagillattan,17.8004,121.8603,Corn,,3,,Reproductive Stage,Rodents,3,3,1,,,3,0,,,,,2019
,,January,II,Cagayan,Amulung,Dadda,17.8539,121.748,Corn,,1,Pioneer,Reproductive Stage,Brown Spot,1,1,1,,,1,0,,,,,2019
,,January,II,Cagayan,Iguig,San Vicente,17.77 00,121.7157,Corn,,2,Pioneer,Reproductive Stage,Northern corn leaf blight,2,2,1,,,2,0,,,,,2019
,,February,II,Isabela,Burgos,Bacnor West,17.0322,121.7039,Corn,,,,Reproductive Stage,CPH,,0,1,,,0,0,,,,,2019
,,February,II,Quirino,Maddela,Buenavista,16.3364,121.6727,Corn,,2,NK-8840,Maturity,CPH,2,2,1,,,2,0,,,,,2019
,,February,II,Quirino,Cabarroguis,Gundaway,16.5154,121.521,Corn,,1.5,NK-8840,Reproductive Stage,CPH,1.5,1,1,,,1,0,,,,,2019
,,March,II,Cagayan,Iguig,San Isidro,17.7717,121.7124,Corn,,1,Pioneer,Reproductive Stage,Northern corn leaf blight,1,1,1,,,1,0,,,,,2019
,,March,II,Isabela,San Mariano,Palutan,16.9669,121.9993,Corn,,2.5,NK-6411,Maturity,CPH,2.5,2.5,1,,,2.5,0,,,,,2019
,,March,II,Quirino,Aglipay,Ligaya,16.4929,121.5849,Corn,,2.5,Pioneer/HK-8840,Maturity,CPH,2.5,2.5,1,,,2.5,0,,,,,2019
,,March,II,Isabela,San Mariano,Palutan,16.9669,121.9993,Corn,,3.5,NK-6413/NK-8840,Reproductive Stage,Rodents,3.5,3.5,1,,,3.5,0,,,,,2019
,,March,II,Isabela,Benito Soliven,San Francisco,16.9371,121.986,Corn,,3,NK,Reproductive Stage,Rodents,3,3,1,,,3,0,,,,,2019
,,March,II,Isabela,Benito Soliven,Sevillana,16.9454,121.9795,Corn,,1,NK,Reproductive Stage,Rodents,1,1,1,,,1,0,,,,,2019
,,March,II,Isabela,Maddela,Gundaway,16.5154,121.5215,Corn,,8,,Reproductive Stage,FAW,8,8,1,,,8,0,,,,,2019
,,March,II,Isabela,Maddela,Gundaway,16.5154,121.5215,Corn,,8,,Reproductive Stage,Earworm,8,8,1,,,8,0,,,,,2019
WS 2019,,June,II,Nueva Vizcaya,Solano,San Juan,16.5661,121.1593,Corn,,1,Cornworld,,Leaf Rust,1,1,1,,,1,0,,,,,2019
WS 2019,,June,II,Nueva Vizcaya,Villaverde,Bintawan Norte,"16.5778, ",121.1894,Corn,,2,Cornworld/Pioneer,,Leaf Rust,2,2,1,,,2,0,,,,,2019
WS 2019,,June,II,Nueva Vizcaya,Bagabag,Paniqui,16.58337,121.285525,Corn,,10,Pioneer,Reproductive Stage,Leaf Rust,10,10,1,,,10,0,,,,,2019
WS 2019,,June,II,Isabela,City of Ilagan,Marana 1st,17.1566,121.921,Corn,,,NK6410,Reproductive Stage,Stalk Rot,,2.3,10,,,2.3,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Dugayung,17.8076,121.4601,Corn,,1,-,Whorl Stage,FAW,1,1,42,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Piat,Aquib,17.798,121.4741,Corn,,1,-,Whorl Stage,FAW,1,1,14,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,-,Whorl Stage,FAW,1,1,10,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.5,-,Whorl Stage,FAW,0.5,0.5,10,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.5,-,Whorl Stage,FAW,0.5,0.5,8,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,-,Whorl Stage,FAW,1,1,12,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,0.5,-,Whorl Stage,FAW,0.5,0.5,14,,,0.5,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,-,Whorl Stage,FAW,1,1,10,,,1,0,,,,,2019
DS 2019-2020,,November,II,Cagayan,Sto. Niño,Lubo,17.8319,121.5395,Corn,,1,-,Whorl Stage,FAW,1,1,12,,,1,0,,,,,2019
WS 2019,,July,II,Cagayan,Gonzaga,Cabiraoan,18.2478,122.1652,Corn,,10,NK 8840,Maturity,Rodents,10,5,1,,,5,0,,,,,2019
WS 2019,,July,II,Cagayan,Baggao,Asassi,17.8952,121.7954,Corn,,1,,Whorl Stage,FAW,1,1,1,,,1,0,,,,,2019
WS 2019,,July,II,Quirino,Cabarroguis,Villarose,16.4979,121.4802,Corn,,0.3,Gloutinous,Whorl Stage,Earworm,0.3,0.3,1,,,0.3,0,,,,,2019
WS 2019,,July,II,Cagayan,Amulung,Casingsingan Sur,17.7756,121.6561,Corn,,20,NK 8850,Whorl Stage,Brown Spot,20,20,1,,,20,0,,,,,2019
WS 2019,,July,II,Cagayan,Amulung,San Juan,18.2629,121.6041,Corn,,10,NK 8850,Whorl Stage,Brown Spot,10,10,1,,,10,0,,,,,2019
WS 2019,,July,II,Cagayan,Amulung,Palayag,17.8097,121.6753,Corn,,10,NK 8850,Whorl Stage,Brown Spot,10,10,1,,,10,0,,,,,2019
WS 2019,,July,II,Cagayan,Amulung,Abolo,17.82611,121.71361,Corn,,10,NK 8850,Whorl Stage,Brown Spot,10,10,1,,,10,0,,,,,2019
