SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
DS 2021-2022,,November,II,Cagayan,Tuguegarao,Carig Sur,17.6622,121.7483,Eggplant,,5,Fortuner,Fruiting,Fruit borer/ Top Borer/ Aphids,5,5,6,,,5,0,Validated and recommended farmers to spray organic insecticide and Advised Farmers to follow application of BCA's,"November 19, 2021","November 19, 2021",2,2021
DS 2021-2022,,November,II,Cagayan,Tuguegarao,Carig Sur,17.6622,121.7483,Pole Sitao,,,Fortuner,Fruiting,Fruit borer/ Top Borer/ Aphids,5,,,,,,,,,,,2021
DS 2021-2022,,November,ii,Cagayan,Solana,Cadaanan,17.6122,121.6364,Eggplant,,5,Morena,Fruiting,Fruit borer/ Top Borer,5,5,6,,,5,0,Validated and recommended farmers to spray organic insecticide and Advised Farmers to follow application of BCA's,"November 19, 2021","November 19, 2021",3,2021
DS 2021-2022,,February,II,Quirino,Aglipay,Malumin,16.471325,121.602761,Watermelon,,6.5,Sweet 166,Flowering - Fruiting Stage,Blight,6.5,6.5,15,,,6.5,0,Validated and recommended farmers to spray fungicide.,"February 4, 2021","February 4, 2021",9,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,San Leonardo,16.39329,121.07754,Onion,,1,"Red Pinoy, Red Dragon",50 days,"Cutworm, Armyworm",1,1,60,,,1,0,Validated and recommended farmers to spray Insectice.,"February 4, 2021","February 4, 2021",1,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Dupax del sur,Gabut,16.322343,121.322343,Onion,,8.55,"Red Pinoy, Red Dragon",61 days,"Cutworm, Armyworm",8.55,8.55,10,,,8.55,0,DA provided Insecticide for management,"February 4, 2021","February 4, 2021",14,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,San Leonardo,16.39329,121.07754,Onion,,5,"Red Pinoy, Red Dragon",50 days,"Cutworm, Armyworm",5,5,30,,,5,0,Validated and recommended farmers to spray Insectice.,"February 12, 2021","February 12, 2021",20,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,Manamtam,16.401494,121.082322,Onion,,15,"Red Pinoy, Red Dragon",55 days,"Cutworm, Armyworm",15,5,10,,,5,0,Validated and BPI provided chemicals.,"Ferbruary 18, 2022","Ferbruary 18, 2022",13,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Sta Fe,Baliling,16.188028,121.947836,Onion,,10,"Red Pinoy, Red Dragon",54 days,"Cutworm, Armyworm",10,3,10,,,3,0,Validated and BPI provided chemicals.,"Ferbruary 18, 2022","Ferbruary 18, 2022",9,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Ariato,Nagcuartelan,16.272866,121.021173,Onion,,60,"Red Pinoy, Red Dragon",52 days,Twister,60,0.5,20,,,0.5,0,Validated aand recommended farmer to spray fungicide,"Ferbruary 18, 2022","Ferbruary 18, 2022",1,2021
DS 2021-2022,,February,II,Cagayan,Gonzaga,Magrafil,18.287287,122.07193,Water Melon,,2.25,Golden Boy,Vegetative,Melon Worm,2.25,2.25,10,,,2.5,0,Validated aand recommended farmer to spray Insecticide,"February 26, 2022","February 26, 2022",1,2021
DS 2021-2022,,February,II,Nueva Vizcaya,Bambang,Sto Domingo,16.405333,121.099092,Onion,,15,"Red Allium, Red Pinoy, Red Dragon",Reproductive,"Cutworm, Armyworm",15,6,30,,,6,0,DA-NVES and DA-RCPC 02 provided chemicals for initial management,"February 26, 2022","February 26, 2022",1,2021
DS 2021-2022,,February,II,Cagayan,Tuguegarao,Linao Norte,17.655614,121.72653,Eggplant,,2,Bnate king F1,Flowering,Shoot Borer,2,0.75,20,,,0.75,0,Validated and recommended farmer to spray Insecticide,"March 4, 2022","March 4, 2022",1,2021
WS 2023,,May,II,Isabela,Cauayan City,Faustino,16.916766,121.626639,Eggplant,,0.4,"Fortuner F1, Calixto F1",Fruiting Stage,Fruit borer,0.4,0.02,/5,,,0.4,0,Farmers Sprayed insecticide to control fruit borer.,"May 19, 2023","May 19, 2023",1,2023
WS 2023,,May,II,Cagayan,Sta Ana,Sitio Racat Rapuli,18.407023,122.13657,Pineapple,,13,Hawaian,Fruiting phase,White Grub,13,9.3,15,,,_,_,The DA-RCPC advise the farmers to apply insecticide/Farmers already apply management before the validation/Late Reported,"May 10, 2023","May 10, 2023",9,2023
WS 2023,,May,II,Cagayan,Sta. Ana,Sitio Racat Rapuli,18.411359,122.15111,Pineapple,,13,Hawaian,Fruiting Phase,Mealy bug,13,2.5,10,,,_,_,The DA-RCPC advise the farmers to apply insecticide/Farmers already apply management before the validation/Late Reported,"May 10, 2023","May 10, 2023",3,2023
WS 2023,,June,II,Isabela,Burgos,Dalig Viejo,17.0314,121.717,Calamansi,,9,Calamondin,Fruiting,Gummosis,9,9,5,,,,9,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",13,2023
WS 2023,,June,II,Isabela,Burgos,Bacnor East,17.0286,121.7127,Calamansi,,7,Calamondin,Fruiting,Gummosis,7,7,5,,,,7,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",14,2023
WS 2023,,June,II,Isabela,Burgos,Catabban,17.0337,121.7432,Calamansi,,5,Calamondin,Fruiting,Gummosis,5,5,5,,,,5,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",7,2023
WS 2023,,June,II,Isabela,Aurora,Calabaza,16.9781,121.6273,Calamansi,,15,Calamondin,Fruiting,Gummosis,15,15,5,,,,15,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",21,2023
WS 2023,,June,II,Isabela,Aurora,Macatal,16.9649,121.6007,Calamansi,,18,Calamondin,Fruiting,Gummosis,18,18,5,,,,18,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",23,2023
WS 2023,,June,II,Isabela,Aurora,San Andres,16.9649,121.6007,Calamansi,,20,Calamondin,Fruiting,Gummosis,20,20,5,,,,20,Advised farmers to conduct pruning to control the gummosis disease.,"June 7, 2023","June 7, 2023",28,2023
WS 2023,,June,II,Isabela,Aurora,Sili,16.97863,121.6379,Calamansi,,7.5,Calamondin,Fruiting phase,Gummosis,7.5,7.5,5,,,_,7.5,Advised farmer to conduct prunning in the infected parts.,"June 29, 2023","June 29, 2023",9,2023
WS 2023,,June,II,Isabela,Aurora,Kalabaza,16.97742,121.6363,Calamansi,,8,Calamondin,Fruiting phase,Gummosis,8,8,5,,,_,8,Advised farmer to conduct prunning in the infected parts.,"June 29, 2023","June 29, 2023",12,2023
WS 2023,,July,II,Cagayan,Sanchez Mira,Centro 2,18.563034,121.230514,Cacao,,1.6/1000 seedlings,"Uf-18, Pbc123, Br25, W-10",Flowering,White Grub,1.6/1000 seedlings,.75/700 trees,20,,,_,.75/700 trees,DA-RCPC advise tha farmers to apply insecticide (furadan) for the management of white grub.,"July 07,2023","July 07,2023",2,2023
WS 2023,,July,II,Isabela,San Agustin,Panang,16.420645,121.733562,Cacao,,11,Brazilian,Fruting,Black pod rot,11,4,30,,,0,11,During validation we observed their farming practice which is inter cropping. We advised the farmers to conduct pruning to avoid overloping of trees and to minimize the disease and pest incidence. We also advised them to spray BCA for further management.,"July 11, 2023","July 11, 2023",1,2023
WS 2023,,July,II,Isabela,San Agustin,Rang-ay,16.462972,121.770756,Cacao,,0.3,Brazilian,Fruiting,Black pod rot,0.3,0.21,70,,,,0.3,During validation we observed their farming practice which is inter cropping. We advised the farmers to conduct pruning to avoid overloping of trees and to minimize the disease and pest incidence. We also advised them to spray BCA for further management.,"July 11, 2023","July 11, 2023",1,2023
WS 2023,,July,II,Quirino,Cabarroguis,Burgos,16.440342,121.5131,Coffee,,20,"Robusta, Excelsa",Reproductive,Coffee leaf rust,20,20,5,,,_,20,Advised farmers to prune infected leaves and branches to help stop the spread of the disease and promote a new growth. We also advised them to clean its surroundings by removing weeds that host rust.,"July 13, 2023","July 13, 2023",18,2023
WS 2023,,July,II,Quirino,Aglipay,Ligaya,16.488107,121.585095,Cacao,,3,Brazilian,Reproductive,Black pod rot,3,3,15,,,_,3,Advised farmers to remove all cacao pods that shows symptoms of the disease and prune the cacao trees to provide or increase sunlight and airflow in the canopy. We also advised them to clean the soroundings by brushing weeds in the ground to reduce the moisture around the trees and spray Isaria(biocontrol agents) for further management.,"July 11, 2023","July 11, 2023",2,2023
WS 2023,,July,II,Quirino,Cabarroguis,Burgos,16.438715,121.508013,Cacao,,5,Brazilian,Reproductive,Black pod rot,5,5,15,,,_,5,Advised farmers to remove all cacao pods that shows symptoms of the disease and prune the cacao trees to provide or increase sunlight and airflow in the canopy. We also advised them to clean the soroundings by brushing weeds in the ground to reduce the moisture around the trees and spray Isaria(biocontrol agents) for further management.,"July 13, 2023","July 13, 2023",6,2023
WS 2023,,July,II,Quirino,Cabarroguis,Sto. Domingo,16.49513,121.530122,Coffee,,3,"Rubosta, Excelsa",Reproductive,Coffee leaf rust,3,3,5,,,0,3,Advised farmers to prune infected leaves and branches to help stop the spread of the disease and promote a new growth. We also advised them to clean its surroundings by removing weeds that host rust.,"July 19, 2023","July 19, 2023",5,2023
WS 2023,,July,II,Isabela,Jones,Payac,16.57526,121.6917,Cacao,,1.5,"BR25, K Series",Fruiting,Black Pod Rot,1.5,0.5,5,,,_,1.5,We advised the farmers to conduct pruning to avoid overloping of trees and to minimize the disease and pest incidence. We also advised them to spray BCA for further management.,"July 18, 2023","July 18, 2023",1,2023
WS 2023,,July,II,Isabela,Jones,Payac,16.57483,121.6913,Cacao,,1.5,"BR25, K Series, Cm79",Fruiting,Bark Borer,1.5,0.3,5,,,_,1.5,We advised farmers to conduct pruning to avoid excess moisture which attracts borer in order to control pest incidence. We also advised them to spray insecticide to completely eradicate the pest causing diseases.,"July 18, 2023","July 18, 2023",1,2023
WS 2023,,July,II,Isabela,Cabatuan,Sitio Malasin Macalaoat,16.96543,121.6481,Bell pepper,,0.2,Sultan F1,Fruiting,Fruit rot,0.2,0.05,5,,,0.2,_,We advised farmers to spray fungicide and we also advised them to prune excess foliage to avoid the compitition of nutrients which allows the plant to focus on its fruits avoiding calcium deficiency which is one of the reasons that causes rotting of fruit.,"July 17, 2023","July 17, 2023",1,2023
