SEASON,MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
DS 2014-2015,January,II,Cagayan,Sta. Ana,2,18.4816082,122.1556749,,,"1,825.00",Inbred/Hybrid,Tillering,Rodents,60,60,0.35,,,60,0,,,,,2015
DS 2014-2015,July,II,Isabela,Ramon,2,16.804695,121.525582,,,15,Inbred,Seedling stage,Rodents,15,10,6.5,,,,0,,,,,2015
DS 2014-2015,January,II,Isabela,Ramon,2,16.804695,121.525582,,,15,Glut(Diket),Tillering,Rice tungro virus,15,15,5,,,15,0,,,,,2015
DS 2014-2015,January,II,Isabela,City of Ilagan,3,17.126323,122.010102,,,600,Inbred,Tillering,Rodents,35,35,0.5,,,35,0,,,,,2015
DS 2014-2015,January,II,Quirino,Saguday,4,16.54114 1,21.56321,,,20,Inred,Reproductive,Rodents,390.4,390.4,0.75,,,390.4,0,,,,,2015
DS 2014-2015,January,II,Quirino,Diffun,7,16.552876,121.46847,,,759,Inred,Tillering,Kresek,39.8,39.8,5,,,39.8,0,,,,,2015
DS 2014-2015,January,II,Isabela,Burgos,7,17.099411,121.704415,,,2195,Inbred,Tillering,Rodents,304.8,304.8,0.75,,,304.8,0,,,,,2015
DS 2014-2015,July,II,Nueva Vizcaya,Bambang,10,16.404147,121.102294,,,307,"SL-8, NSIC, 238, 152",Reproductive,BLS,75,75,12.5,,,75,0,,,,,2015
DS 2014-2015,January,II,Isabela,Aurora,10,16.977449,121.6169,,,91,Inbred/Hybrid,Seedling stage,Rodents,600,600,0.2,,,600,0,,,,,2015
DS 2014-2015,July,II,Isabela,Aurora,10,16.977449,121.6169,,,75,Inbred/Hybrid,Seedling stage,Rodents,20,5,4,,,,0,,,,,2015
DS 2014-2015,January,II,Cagayan,Gonzaga,12,18.241483,122.106467,,,200,Inbred/Hybrid,Tillering,Rodents,76.6,76.6,0.75,,,76.6,0,,,,,2015
DS 2014-2015,January,II,Isabela,Alicia,15,16.780291,121.694398,,,20,Inbred,Tillering,Rodents,759,759,1,,,759,0,,,,,2015
DS 2014-2015,January,II,Isabela,Ramon,19,16.804695,121.525582,,,454,,Tillering,Rodents,2195,2195,1,,,2195,0,,,,,2015
DS 2014-2015,January,II,Cagayan,Buguey,21,18.258548,121.787924,,,671,Inbred/Hybrid,Tillering,Rodents,307,307,0.75,,,307,0,,,,,2015
DS 2014-2015,July,II,Cagayan,Gonzaga,,18.241483,122.106467,,,671,"NSIC 222,146, SL-8,PHB 73",Tillering,Rice tungro virus,7,7,5.5,,,7,0,,,,,2015
DS 2014-2015,July,II,Cagayan,Sta. Ana,,18.4816082,122.1556749,,,20,"NSIC 302,300, 222",Booting,Rice tungro virus,11,11,8,,,11,0,,,,,2015
DS 2015-2016,February,II,Isabela,City of Ilagan,1,17.126323,122.010102,,,33.25,Inbred,Booting,Rodents,40,40,0.75,,,40,0,,,,,2016
DS 2015-2016,December,II,Nueva Vizcaya,Bagabag,1,16.58337,121.285525,,,8.5,Inbred,Panicle Initiation,Rodents,12,12,1.5,,,12,0,,,,,2016
DS 2015-2016,December,II,Isabela,City of Ilagan,1,17.126323,122.010102,,,8.5,Inbred,Tillering,Rodents,20,20,1,,,20,0,,,,,2016
DS 2015-2016,March,II,Cagayan,Enrile,1,17.568859,121.651126,,,1,Bigante/SL8/Inbred,Dough,Stem Borer,50,50,35,,,50,0,,,,,2016
WS 2016,August,II,Isabela,Alicia,3,16.780291,121.694398,,,4,Inbred/Hybrid,Tillering,Rodents,91,91,0.75,,,91,0,,,,,2016
DS 2015-2016,March,II,Cagayan,Sto. Nino,4,17.8133,121.5288,,,9,"PSB Rc 10/82,/NSIC 300",Reproductive,Rice Blast,23.3,23.3,15,,,23.3,0,,,,,2016
DS 2015-2016,February,II,Isabela,San Mateo,4,16.876726,121.594077,,,2,Inbred/Hybrid,Flowering,Rodents,340,340,1.5,,,340,0,,,,,2016
WS 2016,August,II,Isabela,Santiago City,5,16.714983,121.553719,,,34,Hybrid,Booting,BLS,75,75,5,,,75,0,,,,,2016
