trend_scope,year,month,month_num,commodity_group,pest_family,province,municipality,incident_records,incident_points,affected_area_ha,affected_farmers,treated_area_ha,untreated_area_ha,treatment_gap_ha,avg_infestation_pct,max_infestation_pct,avg_severity,high_severity_records,top_pest_family,top_commodity,risk_score,risk_class
region_year,2015,,,,,,,19,18,5033.6,0,4981.6,0,0,2.85,12.5,0,0,Rodents,rice,14.9,Watchlist
region_year,2016,,,,,,,28,28,3999.25,0,3954.25,0,0,3.38,35,0,0,Rodents,rice,13.12,Watchlist
region_year,2017,,,,,,,51,51,5699.01,0,5684.01,0,0,5.63,65,0,1,Bacterial Leaf Streak,rice,11.33,Watchlist
region_year,2018,,,,,,,17,17,2124.45,0,2124.45,0,0,2.37,12.5,0,0,Rodents,rice,12.38,Watchlist
region_year,2019,,,,,,,487,485,1988.77,0,1975.77,0,0,9.12,80,0,12,Fall Armyworm,corn,2.79,Watchlist
region_year,2020,,,,,,,805,803,12555.35,97,12020.35,1535,1535,26.27,100,0,107,Fall Armyworm,corn,8.49,Watchlist
region_year,2021,,,,,,,1231,1227,20941.49,14071,20848.12,231,231,15.41,90,9,79,Fall Armyworm,rice,8.38,Watchlist
region_year,2022,,,,,,,1468,1463,23971.53,20345,23649.16,2,2,18.82,90,0,119,Fall Armyworm,rice,9.36,Watchlist
region_year,2023,,,,,,,1001,991,19832.01,17690,15456.91,12165.26,12165.26,18.46,95,3.12,72,Fall Armyworm,corn,12.82,Watchlist
region_year,2024,,,,,,,1646,1635,26303.5,29691.4,18399.54,8175.54,8175.54,17.42,100,3.79,311,Fall Armyworm,rice,17.37,Watchlist
region_year,2025,,,,,,,1511,1504,14472.23,19545,11342.88,3346.65,3346.65,18.33,100,3.76,237,Fall Armyworm,rice,15.59,Watchlist
region_year,2026,,,,,,,287,284,2406.45,3908,2227.75,828.32,828.32,11.55,63.64,3.5,14,Rodents,rice,13.29,Watchlist
commodity_year,2015,,,corn,,,,3,3,143,0,106,0,0,0.55,0.75,0,0,Rodents,corn,6.1,Watchlist
commodity_year,2015,,,rice,,,,16,15,4890.6,0,4875.6,0,0,3.28,12.5,0,0,Rodents,rice,16.55,Watchlist
commodity_year,2016,,,corn,,,,3,3,173,0,173,0,0,2.02,5,0,0,Rodents,corn,7.7,Watchlist
commodity_year,2016,,,rice,,,,25,25,3826.25,0,3781.25,0,0,3.55,35,0,0,Rodents,rice,13.77,Watchlist
commodity_year,2017,,,corn,,,,5,5,1093.65,0,1093.65,0,0,5,5,0,0,Cutworm/Armyworm,corn,18.2,Watchlist
commodity_year,2017,,,rice,,,,46,46,4605.36,0,4590.36,0,0,5.7,65,0,1,Bacterial Leaf Streak,rice,10.58,Watchlist
commodity_year,2018,,,corn,,,,5,5,463,0,463,0,0,1,1,0,0,Rodents,corn,11.82,Watchlist
commodity_year,2018,,,rice,,,,12,12,1661.45,0,1661.45,0,0,3.05,12.5,0,0,Rodents,rice,12.61,Watchlist
