province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
BATANES,BASCO Capital,Ampalaya,39,0.77
BATANES,BASCO Capital,Banana,25,1
BATANES,BASCO Capital,Beans - dry,6,0.13
BATANES,BASCO Capital,Bellpepper (Green/Red),51,0.74
BATANES,BASCO Capital,Broccoli,5,0.09
BATANES,BASCO Capital,Buffaloes (Carabaos),85,0
BATANES,BASCO Capital,Bush Sitao,3,0.02
BATANES,BASCO Capital,Cabbage (repolyo),27,0.51
BATANES,BASCO Capital,Camote,198,12.38
BATANES,BASCO Capital,Camote tops (talbos ng kamote),5,0.18
BATANES,BASCO Capital,Cantaloupes- honey dew and other melon varieties,2,0.05
BATANES,BASCO Capital,Carrot,23,0.22
BATANES,BASCO Capital,Cassava (kamoteng kahoy),37,5.26
BATANES,BASCO Capital,Cattle,206,0
BATANES,BASCO Capital,Cauliflower,1,0.03
BATANES,BASCO Capital,Chayote,1,0
BATANES,BASCO Capital,Chickens,141,0
BATANES,BASCO Capital,Chili (labuyo),8,0.05
BATANES,BASCO Capital,Chinese Cabbage,2,0.14
BATANES,BASCO Capital,Coconut,3,0.02
BATANES,BASCO Capital,Common beans (habitchuelas),1,0
BATANES,BASCO Capital,Common gourd (upo),14,0.21
BATANES,BASCO Capital,Corn,108,20.2
BATANES,BASCO Capital,crops for seed and seedling,1,0.08
BATANES,BASCO Capital,Cucumber (pipino),3,0.15
BATANES,BASCO Capital,Ducks,6,0
BATANES,BASCO Capital,Eggplant (talong),115,2.47
BATANES,BASCO Capital,Foxtail Millet,1,0.04
BATANES,BASCO Capital,Gabi tubers,48,2.51
BATANES,BASCO Capital,Garlic (bawang),18,1.92
BATANES,BASCO Capital,Ginger (luya),20,0.26
BATANES,BASCO Capital,Goats,26,0
BATANES,BASCO Capital,Green Beans (Baguio Beans),3,0.02
BATANES,BASCO Capital,Kalamansi,2,0.01
BATANES,BASCO Capital,Kangkong,17,0.34
BATANES,BASCO Capital,Lemon,1,0.01
BATANES,BASCO Capital,Lettuce,1,0
BATANES,BASCO Capital,Lime (Calamansi),7,0.18
BATANES,BASCO Capital,Lime (dayap),1,0.01
BATANES,BASCO Capital,Long Chili,1,0
BATANES,BASCO Capital,Mango,2,0.01
BATANES,BASCO Capital,Mongo (Mung Bean),13,0.47
BATANES,BASCO Capital,Mustard,2,0.01
BATANES,BASCO Capital,Okra,62,1.38
BATANES,BASCO Capital,Onion bulbs (sibuyas),30,1.01
BATANES,BASCO Capital,Onion shoot,3,0.11
BATANES,BASCO Capital,Other Cereals,1,0.01
BATANES,BASCO Capital,Other crops for fiber production,14,2.16
BATANES,BASCO Capital,Other fruit-bearing trees and vines,1,0.04
BATANES,BASCO Capital,Other fruit-bearing vegetables,194,53.33
BATANES,BASCO Capital,Other leafy vegetables,144,26.9
BATANES,BASCO Capital,Other poultry,5,0
BATANES,BASCO Capital,Other tubers - roots and bulbs,49,2.63
BATANES,BASCO Capital,Papaya,2,0.01
BATANES,BASCO Capital,Patola,16,0.13
BATANES,BASCO Capital,Peanuts,6,0.12
BATANES,BASCO Capital,Pechay,57,1.09
BATANES,BASCO Capital,Pepper - small green,3,0.1
BATANES,BASCO Capital,Pepper - sweet,20,0.28
BATANES,BASCO Capital,Pigs or swine,284,0
BATANES,BASCO Capital,Pineapple,15,0.43
BATANES,BASCO Capital,Pomelo (suha),1,0
BATANES,BASCO Capital,Potato (patatas),15,1.58
BATANES,BASCO Capital,Radish (labanos),1,0.04
BATANES,BASCO Capital,Rice/Palay,20,2.24
BATANES,BASCO Capital,Sheep,1,0
BATANES,BASCO Capital,Squash (kalabasa),52,1.24
BATANES,BASCO Capital,String beans - harvested green (sitao),54,0.91
BATANES,BASCO Capital,Sweet peas - harvested green (sitsaro),1,0
BATANES,BASCO Capital,Taro,22,1.16
BATANES,BASCO Capital,Tomato (kamatis),31,0.54
BATANES,BASCO Capital,Tugi,24,0.6
BATANES,BASCO Capital,Turnip (sinkamas),1,0.06
BATANES,BASCO Capital,Ube,65,1.89
BATANES,BASCO Capital,Water melon,32,2.14
BATANES,BASCO Capital,Winged Bean (pallang),3,0.01
BATANES,BASCO Capital,Yam,7,0.18
BATANES,ITBAYAT,Ampalaya,1,0.03
BATANES,ITBAYAT,Arrowroot,1,0.2
BATANES,ITBAYAT,Banana,29,2.28
BATANES,ITBAYAT,Beans - dry,1,0.07
BATANES,ITBAYAT,Bellpepper (Green/Red),2,0.2
BATANES,ITBAYAT,Black pepper,1,0.03
BATANES,ITBAYAT,Buffaloes (Carabaos),167,0
BATANES,ITBAYAT,Bush Sitao,1,0.01
BATANES,ITBAYAT,Cabbage (repolyo),2,0.28
BATANES,ITBAYAT,Camote,165,31.94
BATANES,ITBAYAT,Camote tops (talbos ng kamote),4,0.64
